"","avg_logFC","p_val","p_val_adj"
"0610043K17Rik",0.944180805560783,8.96428269822965e-05,0.00656180610149712
"4921511C10Rik",0.838481332680379,1.56747119886769e-05,0.0018572564521659
"6330403K07Rik",1.15153747772753,3.30537892385769e-05,0.00325145145007925
"6430628N08Rik",4.7673377658271,3.1243167307171e-07,8.87569448115403e-05
"9130015G15Rik",1.60487529494462,1.76208451890799e-05,0.0020396890115895
"A930017K11Rik",1.14197588544389,5.1618474152181e-07,0.00013830818204935
"AC160336.1",1.89507879697334,3.55533535247192e-06,0.000611906950919237
"Adra1a",1.98409921568556,1.56773181997968e-06,0.000321439552898268
"Angptl1",2.43093650289397,8.16794906804154e-05,0.00616611432982298
"Ankfn1",3.39743946023419,3.80316708673666e-15,1.79349753476327e-11
"Ankmy1",2.06953039177009,2.67576942829244e-05,0.00275510774452871
"Arhgap15",1.11321535545215,2.61499728184374e-05,0.00272348651589404
"Arvcf",1.08708034561089,4.23989098707973e-05,0.00386473966699007
"Atg16l2",1.17066377846965,1.26255025462376e-10,1.27300826934399e-07
"Bcl2a1d",5.23608295968151,6.9456811407991e-05,0.00551421601410444
"Bend4",1.40318479956489,9.01660450776143e-05,0.00656180610149712
"Btbd16",0.885193573673566,9.09794078509622e-05,0.00658037870465595
"C130073E24Rik",1.8986277633777,3.58952642640606e-05,0.00345458953502974
"C430049B03Rik",3.09885958129177,2.04545863573482e-11,3.21532461146609e-08
"Cartpt",4.60143370034981,5.68165091209114e-11,6.43080338004778e-08
"Ccnd3",0.981889186461599,6.27916847162373e-07,0.000164507237102684
"Ccnjl",0.590232827409621,6.6162973002952e-05,0.00537950600150553
"Cdh2",0.597901462423335,1.26591304311674e-05,0.00159620126436629
"Cldn18",2.24070078537799,8.55641676476789e-08,3.41952120163495e-05
"Cntn1",0.710024468489258,1.97958779198317e-07,6.48287507599598e-05
"Col23a1",2.86122901256287,3.61505319232814e-08,1.60828941928123e-05
"Crh",5.18182345530591,7.16376378035311e-18,1.19075312466927e-13
"Crtac1",0.884685572167431,1.09180004248639e-05,0.00142229575700478
"Csmd2",0.72195928580566,1.67468253745275e-07,5.72280283342006e-05
"D030047H15Rik",2.15203969816839,4.65980912328906e-06,0.000757749236676087
