"","avg_logFC","p_val","p_val_adj"
"2210408F21Rik",-0.918030470652522,2.2677878663214e-05,0.00313519504691703
"2810468N07Rik",-1.42751484753717,3.51649381582721e-06,0.000780907781680749
"9630013D21Rik",-3.96818670323567,5.36367196401091e-05,0.00575415764757441
"A830021F12Rik",-1.26178263295082,7.3909732852686e-05,0.00704426368008411
"Abhd2",-0.99875910640198,1.21031454095484e-08,8.14468333666185e-06
"Acvr1c",-3.24252253466332,1.51361330182233e-06,0.000381963756745097
"Acvrl1",-5.77080822616466,2.27711007646595e-05,0.00313519504691703
"Adamts2",-1.5856480234936,3.23205340774862e-05,0.00402332112825831
"Adgrv1",-0.913949065150889,2.06532351924412e-05,0.00292131461094612
"Adora2a",-2.06651910588869,4.12604103727056e-10,6.65105425194828e-07
"Adrm1",-1.17711566969069,1.65158721981103e-05,0.00254699981877386
"AI593442",-2.29616775350676,8.59907048262798e-07,0.000235752540997185
"Aldh1a1",-4.72281930423091,4.70093734432993e-11,1.49133879436478e-07
"Alkbh7",-1.9696030880557,9.85520767540478e-06,0.00174686275657829
"Ankrd6",-0.715672529266643,3.10261280741522e-05,0.00391475696671987
"Apod",-1.62687476686311,5.45581618234544e-07,0.000172577290733925
"Arhgap22",-2.13412535263903,4.07133142166468e-12,1.80824113761815e-08
"Arpp19",-1.07560791097351,3.39391995352585e-06,0.000769069187836209
"Arsb",-0.813438004251824,4.82143543057183e-09,3.69205574505892e-06
"Atp5g1",-1.06551629477309,7.65907492419731e-05,0.00720699478142583
"Bmp4",-3.6512240278029,2.66690807094309e-09,2.36896110125732e-06
"C730002L08Rik",-3.27864545223436,1.31243658424774e-06,0.00033500320949873
"Cacng4",-0.788391026459129,7.00642805115517e-07,0.000202067204846757
"Camk2n1",-1.80488341106332,2.81742243680163e-13,4.08313608695941e-09
"Cav1",-1.20389478486189,7.7748905684825e-08,3.52361213988349e-05
"Ccndbp1",-1.34880683600951,5.14628891042443e-05,0.00571568221988765
"Cdh19",-1.45250121155364,2.39391632523689e-05,0.00320251203822504
"Cemip2",-1.76901536297283,1.19761054152256e-06,0.000316611158280852
"Chchd10",-2.36351396214421,1.78586639444473e-10,4.06650683490526e-07
"Chchd2",-1.18151923612484,8.2085118400768e-05,0.00760906495309009
"Chd3",-1.00549834816254,2.91720924489997e-07,0.000106200763445071
"Chl1",-0.621498215060744,7.36699549398635e-06,0.00143507779767504
"Col20a1",-1.64750516795187,0.000120698383761567,0.00960698569244844
"Cox5b",-1.06276957276058,5.2737207606195e-05,0.00575415764757441
"Cplx2",-1.10808684943844,3.08821181094124e-06,0.000707009481294558
"Cryab",-1.13515029339061,1.00688266241285e-05,0.00174686275657829
"Cycs",-1.41731799889442,2.00981279103704e-05,0.00287947823551997
"Cyp46a1",-1.18644446387023,0.00011161256462457,0.00914605248198457
"Dbp",-1.54780041538084,6.07399670911598e-07,0.000182277357999106
"Dct",-1.68800535518449,2.62278836413551e-05,0.00340609714633668
"Dnah5",-1.50018540986482,4.27060970690425e-07,0.00014818348400191
"Dock9",-0.624900807930379,3.58715385250767e-06,0.000788712134679583
"Drd1",-4.02101244829348,8.21395667245259e-09,5.96138756213756e-06
"Drd2",-1.48364680442616,9.33620695433918e-05,0.00819482797766839
"Ednrb",-1.02717470417643,5.56488161957039e-05,0.0058568401007488
"Ehd3",-0.991665208520229,5.73792158269394e-05,0.00590041834987236
"Eno1",-0.915621467811557,7.4997251817604e-05,0.00708708072814269
