"","avg_logFC","p_val","p_val_adj"
"1700027H10Rik",1.32795089250721,6.43625552298911e-08,2.97770679997956e-05
"1700111E14Rik",0.874374804334359,2.26500246763695e-05,0.00313519504691703
"4930555F03Rik",1.26198012248093,4.19303640866736e-10,6.65105425194828e-07
"5530401A14Rik",1.86574724650151,1.4630274076958e-05,0.00232067497447862
"8030451A03Rik",1.75736568907459,4.56755060321318e-09,3.62255700876982e-06
"8030451O07Rik",1.14967127239289,2.55384467922061e-05,0.00333607228185013
"8030453O22Rik",0.864120655742716,0.000116022186810407,0.00940330183393693
"9330175M20Rik",1.35433612632434,1.9269802526922e-05,0.00281529279417998
"AC160336.1",2.20114805261851,3.49497544678795e-05,0.00424114315556393
"Adamtsl3",1.15431201751867,1.14085657451588e-05,0.00191931832956622
"Agmo",0.779657919673292,5.71277447590236e-05,0.00590041834987236
"Agrp",0.745665859998862,7.06777242038916e-05,0.00682408791911226
"Angptl2",0.894872891090694,6.80818766810186e-05,0.00667072800931577
"Ano1",2.80530803074743,1.43065211846203e-10,3.97131144933578e-07
"Arhgef3",0.585359254082414,5.1757934139497e-05,0.00571568221988765
"AW551984",2.84119653407398,1.71661993132811e-08,1.12120525926481e-05
"C130071C03Rik",0.673912088453631,2.2907583208523e-06,0.000541179468416671
"C130073E24Rik",0.81852961807703,1.11687546436474e-08,7.75076669910866e-06
"Car10",1.11017683125587,0.000100101798274707,0.00861453408495243
"Cartpt",4.1416557158956,4.98023913228754e-10,7.37307802738062e-07
"Ccdc85a",0.995443733580205,5.82120842633912e-06,0.00121954316531805
"Cdh9",0.923538898602364,3.82650306240802e-05,0.00453510754220017
"Celf4",0.64714234621097,1.70011655358786e-05,0.00258506033318406
"Chrm3",2.08651847609017,1.56386946096222e-12,8.68221227989699e-09
"Chsy3",0.645116040278887,6.00791173783607e-06,0.00123534903668635
"Cntnap2",0.72392006693769,2.17123751202668e-06,0.000529853532193148
"Col24a1",1.51057455505826,8.18543500687796e-07,0.000227217443997174
"Crh",5.57336029680979,5.97565530828839e-08,2.82343356236511e-05
"Dab1",0.620784316307278,2.20801368253159e-06,0.000532971302695424
"Dapk1",0.762121488029851,5.91489683655035e-05,0.00605309281333058
"Dnah2",1.00269430732061,7.13446554027352e-05,0.00685866130964736
"Dpysl5",2.2188520832418,2.70464239101336e-06,0.000632231511339303
