"","avg_logFC","p_val","p_val_adj"
"0610040J01Rik",1.06049118741434,8.81563049188957e-11,3.13231193268542e-08
"1700037H04Rik",0.953042584673566,1.9696442121628e-05,0.00109299184416661
"1700080N15Rik",1.04142664568261,4.21332212037167e-06,0.000336585055025396
"2310075C17Rik",2.82162615377753,9.67622172651309e-05,0.003807473296221
"9130015G15Rik",1.91518601652686,2.53887762970323e-08,4.99508436799299e-06
"9130230N09Rik",2.90862936004303,1.88415403121473e-07,2.65409295071586e-05
"9630041A04Rik",0.952778397808223,0.000211952404665594,0.00672765192729217
"Abca5",1.03187481922217,0.000301467762894617,0.00880296493870788
"Abca8a",1.1301257751373,0.000165118510146456,0.0055363538768261
"Abracl",1.45455741063169,1.62309966701601e-05,0.000942854175429961
"Acsm5",4.15055338335584,1.63949701916029e-33,3.90298660381299e-29
"Actb",0.862407930023861,9.93381906802313e-10,2.95605620916698e-07
"Acvr1",0.617090530698415,5.65360976650159e-05,0.00254904988828289
"Acvr1c",2.15439755576084,0.000253927516853391,0.00770824843127077
"Adamts10",0.702698189121269,0.000199200902418976,0.00638247198248472
"Adamts6",0.83071746588195,1.92210188338703e-05,0.00107018218168463
"Adipor2",0.864358355420237,0.000141888407032116,0.00498225223282851
"Afap1l2",1.30473724791533,0.000324825191880396,0.00931661267217435
"Ahr",2.09611100710001,8.54672976769255e-06,0.000573136475632927
"AI593442",1.79306593599282,5.73229275466739e-08,9.81747923148287e-06
"Akap5",0.871833483943671,1.20781647476159e-06,0.000123936547405925
"Akt2",0.937812488090404,0.000238602164778586,0.00737258117459405
"Ankrd29",0.960305384799667,0.00027961780188973,0.00827933008928722
"Ankrd6",0.784137792263698,5.30534212221826e-08,9.31525904667177e-06
"Anks4b",3.73273033611971,2.6356852246556e-19,3.69088955636184e-16
"Ap1s1",0.642520508944549,0.000100112408726833,0.0038810277268857
"Arf5",0.730491655528809,6.35027245019074e-05,0.00280993654180745
"Arhgdib",1.52568320024619,2.39326245818858e-05,0.00129781335033343
"Arhgef17",0.70864009105162,7.16870813414147e-05,0.0031142019314119
"Arhgef28",1.87457839904835,8.6986304014522e-07,9.58701830263755e-05
"Arhgef5",1.55896905872571,2.43812234789868e-06,0.000217385545371071
"Arl1",0.732187330035281,0.000115075868572014,0.00431416712948876
"Arpc2",0.663980231786226,2.27881321215502e-08,4.55877540576156e-06
"Arpc3",0.737027824808671,3.71123843776063e-05,0.00180287540022797
"Arpc5l",0.706923512893849,8.0764029888102e-05,0.00338497974562703
"Arpp19",0.869519969658186,3.4422234665639e-05,0.00169659569037309
"Arpp21",0.838247374382002,2.6200564717438e-09,6.70678111465946e-07
"Atp2b1",0.736488790770418,9.38143982712189e-10,2.82701970284131e-07
"Atp5d",0.635333796990185,0.000113269032545876,0.00426658637466317
"Atp5g1",0.826842123219179,6.34827696894131e-06,0.000455202052778967
"Atp5l",0.743309133315709,8.62571793999794e-07,9.55087633858563e-05
"Atp5o",0.726288163356494,1.40127555952195e-06,0.000140250888685928
