"","avg_logFC","p_val","p_val_adj"
"1810059C17Rik",-1.72301887811044,2.97616724405285e-05,0.00147769843905196
"2310022B05Rik",-1.47967937483075,2.48173621100409e-07,3.00995549692999e-05
"2900052N01Rik",-0.845955550232087,9.02560615985157e-05,0.00340140075674028
"2900093K20Rik",-0.968641174459074,1.22144566358592e-06,0.000112679541467407
"3110006O06Rik",-4.51434716258853,4.81944449146778e-09,1.11278368721101e-06
"4930469K13Rik",-4.54777808526409,0.000198991996575398,0.00619884716320208
"4930517O19Rik",-1.01570277925669,0.000150765747043368,0.00502405299038659
"4930545L23Rik",-0.963413470249154,3.75797536157728e-05,0.00176057461400325
"4930555F03Rik",-2.59001691774165,0.00022719602876395,0.00676014285835248
"4930587E11Rik",-2.78642520287538,4.49512773126392e-06,0.000335631521509653
"4933432K03Rik",-0.905823696995269,0.000154964543673274,0.00513610622496612
"5930430L01Rik",-0.695173119039217,2.59777903098358e-05,0.00134465019725387
"8030451A03Rik",-1.43028927653001,4.24374903001333e-06,0.000319860869318954
"9330188P03Rik",-0.889088258591249,0.00012963363635475,0.004488893439745
"9530026P05Rik",-1.52194378866177,2.18118733976168e-23,6.51438863861572e-20
"9630028H03Rik",-0.797878458275525,6.59297513072317e-05,0.00269495111395324
"A230005M16Rik",-1.2102144622361,7.01960003117161e-05,0.00282831877815823
"A230009B12Rik",-2.14029989144841,1.91580046541635e-09,4.81833900212557e-07
"A330093E20Rik",-0.649364363402443,0.000301182361373663,0.00837871100903194
"A530076I17Rik",-1.59307843960986,2.41437596319363e-05,0.00128478140063664
"A730049H05Rik",-1.52039116703927,2.27045657368851e-06,0.000192368861401204
"A730063M14Rik",-2.08446279985805,1.55046747294706e-05,0.000899158236192335
"A830018L16Rik",-1.55541240660001,5.5869889270755e-07,5.95937171583103e-05
"A830036E02Rik",-3.52722376192871,5.71495602540798e-06,0.000404301829395669
"AC166172.1",-1.52323679997046,1.05551510653095e-06,0.000100077073175968
"Acss3",-1.91677067699203,2.82572870029593e-12,1.25028029326242e-09
"Actr1b",-0.738649328670127,2.71442718260781e-05,0.00138877534633937
"Adamts9",-0.76993734663233,1.73737310165044e-07,2.26836368949366e-05
"Adcy8",-3.27931961577378,2.39720805002818e-17,2.72745199711063e-14
"Agrn",-0.776788148745233,0.000212278481316343,0.00648865603685291
"Agt",-3.601737100947,5.79043002581559e-10,1.6087295884513e-07
"Ajm1",-1.12100467933583,0.000113993411217332,0.00403502899883809
