"","avg_logFC","p_val","p_val_adj"
"0610040J01Rik",1.09278407790299,5.28979208099036e-11,1.78012679142398e-08
"1700037H04Rik",0.943218111864068,1.83641784546547e-05,0.0010275768520306
"1700080N15Rik",1.0930965969433,2.63351816701047e-06,0.000218931604099066
"2310075C17Rik",2.98400184445206,3.36861968894143e-05,0.00161579948820158
"9130015G15Rik",1.89562484563241,9.87276903143574e-08,1.42102452089213e-05
"9130230N09Rik",2.98908801076775,9.62808322234964e-08,1.39420480261576e-05
"9630041A04Rik",0.959318123297701,0.000231554623687378,0.00685568107033771
"A330009N23Rik",2.13655034147261,0.000310362566173704,0.00861265132820943
"Abca5",1.08128212538207,7.9679109516615e-05,0.00309054052545533
"Abhd2",0.599934534813838,0.000105199346197959,0.00380837572531492
"Abracl",1.41853437600199,4.64069216717146e-05,0.00204953896395985
"Acsm5",4.23649579288959,7.24345098967188e-35,1.7306777449623e-30
"Actb",0.866452933014056,9.0427677909147e-10,2.44446466119133e-07
"Acvr1",0.625217017342506,3.95280166412298e-05,0.00180850146518537
"Acvr1c",1.97253783685995,9.99007470894711e-05,0.0036721977695519
"Adamts10",0.704887168853283,9.98013896177022e-05,0.0036721977695519
"Adamts6",0.830385398635386,1.38157297357824e-05,0.000817077303408536
"Adipor2",0.858361741290012,8.93167053140979e-05,0.00338200323307407
"Ahr",1.95444141320509,2.30258387721131e-05,0.0012503553767775
"AI593442",1.79058801051399,3.31166430800085e-08,5.53325841336114e-06
"Akap5",0.882644446256438,8.5422903182377e-07,8.46891877898976e-05
"Akt2",0.993148895619222,7.74851485726182e-05,0.00303751490032726
"Ankrd29",1.0153547219943,9.81387047657975e-05,0.00364103738038696
"Ankrd6",0.805635665679154,3.0785262273907e-09,7.50563542357613e-07
"Anks4b",3.81739110534623,7.17871663914904e-20,1.22515054756563e-16
"Ap1s1",0.633243233430964,0.000105972890832081,0.00382478894358144
"Arf5",0.724101728010965,6.07852810068203e-05,0.00252271630492318
"Arhgdib",1.54556620620271,2.60004349027451e-05,0.00134465019725387
