"","avg_logFC","p_val","p_val_adj"
"A630012P03Rik",4.02443075239706,1.99749320453692e-06,0.00259960286653458
"Adamtsl3",4.26561661477364,1.37092756284584e-05,0.00993839396544271
"Calcr",7.2430312950201,1.90398569060861e-09,7.59150827940495e-06
"Cdh23",5.55289641055543,1.49345801189042e-08,3.57279960184544e-05
"Dleu2",4.10132555400471,8.56095115483601e-07,0.00136535756318095
"Gfra2",3.40630869360876,2.14849312291336e-08,4.67258190722329e-05
"Gm33948",8.18904372565448,3.1438716909095e-10,7.5210842461628e-06
"Kitl",3.80825262603048,2.96030517515834e-06,0.00322217232320491
"Lbh",4.52016688049094,6.74609315230482e-07,0.00115276276058992
"Parm1",2.94841787867273,9.67762443994518e-10,7.59150827940495e-06
"Pdzrn3",5.07591175155838,1.00495186579116e-08,2.67127372059132e-05
"Pld5",2.65123285575292,6.04938865874659e-06,0.0051685544601141
"Rassf2",4.89898610298979,4.91138748179238e-06,0.00451904318180458
"Rxfp1",5.06434275318953,2.06464299896154e-06,0.00259960286653458
"Sim1",8.99655919359224,2.74609192315491e-09,8.21184463470437e-06
"Syt6",4.57340047899695,1.01989457808379e-09,7.59150827940495e-06
"Tmem163",4.778402632089,1.31518670597495e-09,7.59150827940495e-06
