"","avg_logFC","p_val","p_val_adj"
"0610040J01Rik",1.10033804238007,0.000371619198705598,0.00578755549699246
"1190005I06Rik",0.750940135057102,1.59581653228151e-07,1.19992600114989e-05
"1700030L20Rik",2.84928301707458,2.12389868426061e-08,2.10322072725913e-06
"1700037H04Rik",0.847972795581003,0.000148143756663615,0.00290118541967656
"1700057H15Rik",3.64755719939409,2.42421279410617e-10,4.18527579887725e-08
"1700065L07Rik",2.56577218693719,0.000174856383721399,0.00325662258454006
"1700092K14Rik",1.28692456714785,0.000412308844002737,0.00624782085951973
"1700095A13Rik",3.9864903247059,9.64491225656164e-06,0.000353988513897469
"1700120G11Rik",3.35731577354535,1.05501530290294e-13,4.01242196793897e-11
"2310033P09Rik",0.697841579092086,5.7090387143967e-05,0.00139105472556359
"2510009E07Rik",1.09622589748528,1.83274999487089e-05,0.000580157121416187
"2600014E21Rik",5.72985664538856,1.70079500225851e-32,7.43871040821128e-29
"2810404M03Rik",1.11842017703192,5.80653733044601e-06,0.000234423311731637
"2900005J15Rik",0.710364942311402,0.000702906487787433,0.00927850706867093
"2900042K21Rik",1.65705410024177,0.000436806223246136,0.00647974500306676
"3222401L13Rik",1.9059285475081,1.1798715061918e-07,9.24244419865234e-06
"4930404A12Rik",1.50997386383362,0.000398061900349745,0.00610516679659731
"4930431P03Rik",2.41778600444906,1.57560143266479e-09,2.17615435768366e-07
"4930486I03Rik",2.17630383914386,6.11686428503707e-06,0.000244594854979723
"4930500F04Rik",2.62916052158971,2.48340111846554e-06,0.000119357897712038
"4930500H12Rik",0.798894977865446,0.000379327705639981,0.00587622057343824
"4930529K09Rik",1.46934861282378,0.000310949386119264,0.00507455695774763
"4930549C15Rik",1.51743005744023,1.70377418328922e-05,0.000549943937489245
"4930593A02Rik",0.595214516970357,7.70672565890723e-05,0.00174275893291325
"4930598N05Rik",0.836118896625175,0.000164766438781956,0.00313773649239194
"4933407E24Rik",2.55773038872981,1.41108250314241e-06,7.4656506144079e-05
"4933412E12Rik",1.28014554380417,5.42132885318899e-11,1.07777660428322e-08
"5730409E04Rik",0.786980516194413,0.000176896999464163,0.00327834114402442
"5830416I19Rik",1.34520861339416,2.43957404876119e-05,0.000717114917844131
"9330179D12Rik",1.43342840803315,5.4580730358618e-08,4.79032617415001e-06
"9530059O14Rik",1.08533454677268,1.92702942150738e-05,0.000604170920898408
"A26c2",1.97341803095377,4.14512001664525e-09,5.15527201311871e-07
