"","avg_logFC","p_val","p_val_adj"
"1190005I06Rik",0.759988315582424,0.000201416002894607,0.00427374979334454
"1700001N15Rik",2.26986948755999,0.000371236427947444,0.00643016942837349
"1700037H04Rik",0.912362594561435,0.000168637207620374,0.00372244722122259
"1700057H15Rik",2.9102093026081,2.099828721141e-12,9.62237301687772e-10
"1700074H08Rik",1.36265385329434,0.000568159138410428,0.00860807232904895
"1700120G11Rik",3.14937534071954,3.21294005136962e-13,1.74837487795363e-10
"2310033P09Rik",0.738623647976623,5.45289007359443e-05,0.00167367201788821
"2510009E07Rik",0.853168486308709,1.15491447003493e-05,0.000553948781808681
"2900026A02Rik",0.941038522307847,2.49725159580277e-09,5.6231216967559e-07
"3222401L13Rik",1.64302104937047,5.06011945564637e-06,0.000293711822625518
"4921504E06Rik",1.42644643810673,1.71644063883686e-06,0.000128462548671687
"4930405H06Rik",1.14368406976174,8.18738789707492e-05,0.00226301134255658
"4930431P03Rik",2.93677499357608,1.72281220024942e-06,0.000128472451406868
"4930447N08Rik",2.1479558211714,5.5661359241091e-10,1.59766450920582e-07
"4930500H12Rik",1.92055124872093,0.000250362001679827,0.0049244261474592
"4930521E06Rik",2.84140623895007,5.09422782557117e-05,0.00158217872537359
"4930522H14Rik",3.6400474673175,0.000463789789113602,0.00753369980823836
"4930549C15Rik",1.41490162960689,3.54695534840987e-06,0.000220638549218967
"4933407E24Rik",1.58917947479664,0.00019652661633065,0.0041904287498421
"4933412E12Rik",1.21614752182795,5.14611315065146e-08,7.26575543216303e-06
"5830416I19Rik",1.5962752576414,0.000542018860703295,0.00836239376347906
"6530403H02Rik",3.31188883249107,3.01327360189557e-08,4.54952060586777e-06
"9530059O14Rik",1.00389254710634,5.43116827682472e-05,0.00166896606341955
"A26c2",1.84566134818047,2.29687056657198e-06,0.000161274890319516
"A830019L24Rik",3.10042431300983,2.714943428479e-12,1.20193766698087e-09
"A830092H15Rik",1.13488274732194,0.000312865895697271,0.00577122683305983
"A930033H14Rik",1.24372815584703,7.04790234970842e-05,0.00202967154767788
"Abcd3",0.653854679336219,0.000227166514257398,0.00463437829241807
"Abi3bp",2.02388343471189,7.68540162112711e-10,2.09106969108167e-07
"AC142100.1",1.11375705264424,3.60984557913816e-06,0.000223434043903054
"Acat2",0.712716678728297,0.00017896983864448,0.00388909499616791
"Ace",2.93852422718671,5.1920220907146e-11,1.80820822679287e-08
"Actb",1.45225655794175,0.000338168007260953,0.00604582364795079
"Acvr1",1.02380293387779,3.61316078371386e-05,0.00125666790506799
"Adamtsl5",2.44902685350621,0.000569293332460988,0.00862025614138029
"Afap1",0.72670932537004,0.000287024901128839,0.00543267421556903
"Aff3",1.20356831096541,4.08830571336828e-05,0.00136033815583668
"AI197445",2.35130601062578,3.89916104886189e-06,0.000237758979897378
"Akap9",1.37237388319378,2.73383261201519e-05,0.00103489431631647
"Akirin2",0.628017134554573,8.84505388007332e-05,0.00238917070679954
"Anks1b",1.08059122234688,1.50408742526244e-07,1.77768160850022e-05
"Ano3",1.10683445740005,2.03995455727659e-05,0.000829962819876394
"Aoah",2.73528809660475,8.24513923309226e-22,1.95784578880336e-18
"Ap1ar",0.691824662840901,8.64236948775538e-05,0.00234655603971071
"Aplp2",0.664163057190768,0.000320862010170787,0.00586898858939842
"Arf4",0.644334592080007,0.000114796488026508,0.00290352960141656
"Arhgap15",2.48807070798728,6.76853673343906e-14,4.31205315798605e-11
"Arhgap19",1.0380112108936,1.68199598895058e-05,0.000716700411605045
"Arhgdib",1.17045434254735,5.17698727214934e-06,0.000299829063300534
"Arl6ip4",0.721667939883677,0.00012608260464444,0.00306922426217406
"Arntl",0.844984474009603,3.58572869471718e-05,0.00125212879018734
"Arpc2",0.691096784230934,0.000160286640978137,0.00359372280029951
"Arpc3",0.721397014607995,0.000454727512466816,0.0074327175379432
"Arpc5l",0.880914726483656,4.27611903343382e-05,0.00141203829523757
"Art3",1.67292396889653,4.9708854304263e-05,0.00156621866637799
"Asap1",0.789234772719164,9.38473057911242e-05,0.00249115002770748
"Asb2",2.21828006432265,9.24524298919572e-12,3.65887495269382e-09
"Astn2",1.64116888118428,4.57227457759219e-23,1.19427811966708e-19
"Atf6",0.985717044927733,1.54539708476767e-05,0.000672762864235528
"Atp7a",0.651148997085716,0.000219078860699864,0.00454594063100631
"B230216N24Rik",1.75977442110586,1.96053273997065e-08,3.12426144944132e-06
"Bank1",2.21248223203662,5.95792187427458e-15,5.02002965664684e-12
"Bcl2",1.05124797328614,1.33491112624522e-07,1.62934012231426e-05
"Bend4",1.14474664223437,1.34766800223812e-05,0.00060494110609016
"Blvrb",0.831463138971607,0.000452735414648557,0.00741872586613571
"C030004G16Rik",1.60837309809069,5.5017000259686e-10,1.59671560753667e-07
"C030007H22Rik",0.919312092148731,0.000343187622560275,0.00609237092295168
"C79798",2.46827323182171,1.30060912567009e-19,2.12324439765643e-16
"Cabcoco1",1.29178305221228,0.000329099506971379,0.00594472968332809
"Cacng2",0.908795244711892,0.000291370480845025,0.00549105119745458
"Cacng3",1.0734039624557,2.36426103549809e-11,8.57701364544586e-09
"Cacng4",0.782553019460399,2.12435679834195e-07,2.38146779281938e-05
"Cadm3",0.629569370541273,3.27962747631457e-07,3.39935990798954e-05
"Caln1",0.670158164176986,3.19332084657709e-05,0.00115846584045269
"Ccdc137",0.629739962451258,5.98762041200191e-05,0.00178943529933055
"Ccdc60",0.997118985700965,0.0003777882784296,0.00650054666177942
"Ccdc85c",0.649358668020044,0.000268052767759369,0.00515957132931077
"Ccr1",3.84474525505138,0.000129966064706814,0.00312876830427832
"Ccr5",1.25019156950072,1.67067233357898e-06,0.00012646975689198
"Ccser1",0.7433194135374,1.33816468039369e-05,0.00060494110609016
"Cd72",2.24647316298392,1.32101116714393e-06,0.0001048778470693
"Cdh11",1.93855499585945,5.88357867120121e-05,0.00177119398026992
"Cdk2ap1",0.73292877312054,0.000303028389564231,0.00565364395386979
"Cdk5rap2",0.835587973596227,1.83311925168042e-06,0.000134120657854041
"Cdv3",0.892335920694533,0.000456453147851061,0.00744446869595242
"Cdyl2",0.599198572716069,2.64099139366637e-05,0.00100704664529293
"Cep126",0.987836550841921,2.31478619411862e-07,2.55114832870795e-05
"Cep63",0.592898886542166,0.000420301137416456,0.00700539267889056
"Cers1",0.589676910202529,0.00028780013600312,0.00543962822166986
"Cfap99",1.36196506653101,0.000175387120479965,0.0038303608586427
"Chd9",0.710035846874795,6.16329928982926e-06,0.000338916584105979
"Chgb",1.26675145691873,2.62325184937495e-05,0.00100321139539786
"Chrna7",1.3434372638664,0.00023572341169378,0.0047144682338756
"Chst11",1.19287067320246,2.35463060846843e-06,0.000164442725325674
"Chtf8",1.5482370860616,2.38111651008155e-06,0.000165411604370559
"Cit",0.720346918353388,0.000227718090681474,0.00463753526342087
"Clmp",0.717378671244636,6.68957111853882e-07,6.02522750400807e-05
"Clptm1",0.608997708412564,0.000564318816968299,0.00856977180186742
"Clspn",2.57706796440247,0.000476907118309005,0.007672092090683
"Cnnm2",1.34391062044412,5.71556008159808e-16,5.52927516042007e-13
"Cntn5",1.66015040111627,2.27925300131981e-05,0.000901762569178877
"Cobl",0.86714870927271,1.44405688933812e-05,0.000639301117788332
"Col15a1",1.72589203032247,0.00021900733479849,0.00454594063100631
"Cpe",0.714067585050276,0.000496816037610012,0.00789345188708851
"Cradd",0.736128379239702,4.34172827704046e-05,0.00142828643068384
"Crem",0.630659458415825,0.000172310714388617,0.00378214778137031
"Cry1",0.917218418844906,2.80764239206326e-05,0.00105086312653366
"Csmd3",0.589798314171912,8.0706953965928e-05,0.00223786161102977
"Ctnna1",0.978817617439649,3.13566013782637e-11,1.12196496986335e-08
"Cttnbp2",0.801533066096638,0.000154402499599683,0.00350390381367829
"D17H6S53E",1.08580143419573,5.70432478253564e-05,0.00173252282930036
"D430041D05Rik",1.03368518499779,6.30508494206162e-06,0.000343817993082776
"Dbi",1.20994536735325,8.58316562424532e-07,7.37474625346341e-05
"Dctn3",1.22551809177458,0.000104666678840943,0.00272029219037355
"Ddx24",0.692225189745056,0.000220865790181591,0.00456770739472933
"Ddx41",0.843622711120162,4.15477856353697e-06,0.00024890554146694
"Decr1",1.59833305527189,1.34675223487799e-05,0.00060494110609016
"Denr",0.62748604324871,0.000325103072421074,0.00590980624453893
"Dgkb",1.12881466708616,1.52964322217576e-05,0.000668131788682788
"Dhrs3",1.77754982302943,4.75867605413063e-12,1.97296219895067e-09
"Dnaja1",1.03986426414474,0.000536461469405098,0.00829134531411902
"Dnajc12",0.707808754775792,0.000321283746776666,0.00587259024898986
"Dnajc2",0.891386072016591,7.83774235734262e-06,0.000407812411103166
"Dnajc8",0.798147155579327,4.01329266268496e-06,0.00024098207896398
"Dock11",0.801108456256576,1.37028815829829e-07,1.64939754353692e-05
"Dock4",0.738061333555601,1.31087904684255e-05,0.000600704573746097
"Drd1",1.63165495507986,1.58916966455461e-07,1.84484940614073e-05
"Dusp14",1.7033890389946,1.23720678477806e-08,2.14012193499358e-06
"Dusp3",1.51583154503906,4.89521977366283e-06,0.000286047294156763
"Dzip1l",0.609958803920191,0.000140858537097772,0.00328483680730049
"E130311K13Rik",0.709820432695406,0.000514789641157579,0.00809530730104512
"Egr1",1.74585324855344,0.000120385427074441,0.00298336561212941
"Egr2",1.49660270712409,0.000658379517247393,0.00954321475610539
"Egr3",1.08350061572402,4.85613809795703e-05,0.00153748275295318
"Elovl2",0.926557769758661,0.000253428625484344,0.00496179086880787
"Eml1",1.17956066094618,6.59797261322073e-05,0.00192988851799916
"Emx2os",2.65090559726541,2.46847732402375e-09,5.60666327856525e-07
"Ephb6",1.45247231739048,0.000695906340051439,0.00995458576240066
"Ercc5",0.645671738134391,6.36957000368293e-05,0.00187568397402703
"Erp27",1.14231979458302,0.000221596068423086,0.00457874978176849
"Etl4",0.701317121416672,5.00046666029748e-05,0.00156985804287224
"Etnk1",0.638842717030941,0.000262475368144217,0.00507089986385129
"Etv1",0.765495517597194,0.000374017178251826,0.00646975410327
"Etv5",0.61358878327285,0.000402673774226388,0.00681504490753621
"Exoc6",0.651685623429921,0.000122020732925486,0.00300677504152235
"Fam163a",3.66909936464614,6.0142919429436e-11,2.04017279934658e-08
"Fam174a",0.888895184070592,0.000166505866968174,0.00368570614000738
"Fam78b",0.741794925536852,0.000109171582021095,0.00280114118113065
"Far1",0.628131663304499,0.000241396019715216,0.00478759607817877
"Fbln5",2.38918089201307,0.000327387047813674,0.00592609126049423
"Fcrlb",1.83808451845306,0.000597481289611651,0.00890027341343392
"Fem1c",0.618305541463178,0.000223961982148316,0.0045949577882811
"Fig4",1.52915502460242,1.51289115487388e-11,5.72706042975447e-09
"Fmnl1",0.781358579918011,0.000333195590546108,0.00598886992257558
"Fosl2",0.870950192269182,6.05804527127544e-05,0.00180428896791009
"Foxp2",1.48453521893784,0.000407456054146789,0.00687516287746391
"Gabrg3",0.869549080250692,1.83372272941272e-09,4.43489237891298e-07
"Galnt17",1.55386054710752,6.63700902910271e-17,7.22327816000678e-14
"Galnt7",0.729099178993444,0.000294423435539872,0.00553261880309457
"Galntl6",0.845944172379774,0.000199553725110311,0.00424748494011057
"Galr1",2.78706564431149,1.91644795899372e-08,3.10916898688919e-06
"Garem1",1.59975390741862,1.51032244844546e-06,0.000116947685135253
"Gatad1",0.637799439415106,0.000107288419646307,0.00276641018870834
"Gcnt2",1.53319908135399,0.00029405036344714,0.00552958638822124
"Gm10271",1.46936622315837,4.94089321578711e-07,4.73965549117144e-05
"Gm10475",2.04993963740098,2.99854758828527e-06,0.000193387809891386
"Gm10505",2.05294388624836,0.000660352590968217,0.00956650564397662
"Gm10706",3.55206076555,3.87549698876197e-17,4.40121658028098e-14
"Gm10851",1.37944680677309,0.00023638077461872,0.0047167806211161
"Gm11110",1.19777732553855,3.15861869040746e-09,6.99178984690194e-07
"Gm11468",1.46025394855428,0.000655657572440905,0.00951960855595132
"Gm11651",3.50115872755033,4.57929459904964e-28,2.39222349854353e-24
"Gm11670",1.03457655100258,0.00064177100488321,0.00935960840175849
"Gm12128",3.3277645654602,1.93687154690421e-20,3.37273898700919e-17
"Gm12130",4.13729275696346,1.47606685682217e-14,1.101567608577e-11
"Gm12198",1.69929348540905,3.04689907760999e-05,0.00112091554798835
"Gm12930",2.68393795848554,1.99896976461334e-21,4.01639155782312e-18
"Gm13063",1.39010672351766,3.33600797230821e-05,0.00118876573310628
"Gm13211",1.6787786229974,1.71572690723551e-07,1.97421968356791e-05
"Gm14205",1.39257348874605,0.000674740509398454,0.00972639189044571
"Gm15401",1.63838198572474,2.68656099940402e-05,0.00102144065945317
"Gm15402",1.99574226439101,1.88208095192534e-05,0.000780000173197722
"Gm15997",1.55617456716696,2.26323901599004e-06,0.000159341787325229
"Gm16069",1.68031449629551,5.58204340057236e-06,0.000316962986136848
