"","avg_logFC","p_val","p_val_adj"
"1700037H04Rik",0.78565291072779,0.000238366571919519,0.00750291630904155
"1700057H15Rik",0.958373655450061,2.78845832518639e-06,0.000274103167744245
"1700092K14Rik",2.0596353803853,2.85607100718807e-05,0.00160804842975131
"1810020O05Rik",1.26934625806307,5.33760411657396e-05,0.00257590411943715
"2510009E07Rik",0.733462759668851,7.46265596746978e-05,0.00321349736767976
"3222401L13Rik",1.27399380682095,1.99694220485404e-06,0.000209899724836308
"4921524J17Rik",0.829024407764324,1.48843302235522e-06,0.000166046818796232
"4930417O13Rik",0.860934523267534,9.37754553221296e-05,0.00374867382650213
"4930431P03Rik",2.1561399319866,0.00019433838256678,0.00639397271037615
"4933406K04Rik",3.23901068574373,3.07963458400588e-06,0.000293115220227702
"4933412E12Rik",1.42858150579084,7.89881940916819e-12,4.21007074508664e-09
"4933412O06Rik",0.656363626253943,0.000280737632633474,0.00849116282309443
"6530403H02Rik",2.01643224161361,2.68652958432851e-11,1.17157112872944e-08
"9530059O14Rik",0.672081461668378,5.20470147826532e-05,0.00254764826441211
"A330008L17Rik",2.06619892278287,3.33459735945567e-05,0.00181361264549987
"A330102I10Rik",1.87076581309912,3.52047985085033e-07,4.80478392357721e-05
"A830092H15Rik",1.11855474326331,1.94434339480867e-07,2.87870841509173e-05
"Ace",2.39093791047461,6.221827964561e-08,1.1479272594615e-05
"Ackr2",4.08273460126762,0.000107909577713084,0.00420847353081029
"Actb",1.41972279691969,0.000150545511189738,0.00536528095971154
"Acvr1",0.813893347410734,0.000115904287299116,0.00442669479437787
"Acvrl1",3.33838449339422,2.22130170365854e-13,1.52222632463572e-10
"AI197445",1.72504737442966,9.13273888522193e-10,2.77276888812719e-07
"Aimp2",1.07802540602848,0.000348606771866589,0.00999339207000056
"Akap9",1.27076564857208,7.12345768688571e-05,0.00313497491045787
"Alkbh7",1.101381506724,4.74597350902284e-05,0.00235677380153028
"Anks1b",0.818650048044917,9.88207175652679e-06,0.000711776249490375
"Ano3",0.913300472076637,7.84480371599527e-05,0.00333022331200259
"Ap1ar",0.612956179148452,0.000150496111591712,0.00536528095971154
"Apbb2",0.645629343770142,0.000141189955890306,0.00512020225807326
"Arhgap15",2.43798534990229,1.5039433020329e-14,1.50300333746913e-11
"Arid3c",2.16768097779654,2.71812421226089e-05,0.00156151078089858
"Arpc2",0.65220393479027,0.000235418206546785,0.00743940142822746
"Arpc5l",0.951719052760358,1.44038869549995e-06,0.000162960956894181
"Arpp21",0.759835838807911,0.000128861670885001,0.00482175846517433
"Art3",1.06224447707313,8.27661453428811e-05,0.00346342803613563
"Asb2",2.99307909371651,1.12253509005309e-07,1.83156490713764e-05
"Atp5l",0.835640366899718,0.000121677337042123,0.00459595421882727
"B230216N24Rik",0.8185117399737,4.66028009580889e-06,0.000410944184183736
"B230219D22Rik",0.759730493292952,0.000244888061724203,0.0076479689589258
"B3galt5",0.993444610657618,2.17745428929173e-05,0.0013155224465658
"Bank1",2.34680814431132,2.51463228138686e-09,6.77679272686112e-07
"Batf3",1.97756392388018,3.55766882739257e-05,0.00192313575449764
"Bche",1.62631302525047,3.29261028391905e-07,4.59146846859294e-05
"Bcl11b",0.91908213064144,6.02323491476003e-05,0.00279571877767025
"Bcl2",0.74937728172588,0.00012223776640059,0.00460986293572035
"Bend4",1.10212470520562,8.14995445233441e-07,9.77383287696204e-05
"Bend7",1.4698178794303,3.52571178048609e-07,4.80478392357721e-05
"C030004G16Rik",0.840375778796726,4.50159587166978e-06,0.000401171843099862
"C030005K15Rik",1.24660507644475,0.000339311693241869,0.00976997714574577
"C230014O12Rik",1.66273543665353,8.81328556673907e-05,0.00361344708236302
"C79798",2.14776792024205,3.92691769137099e-10,1.36503073663092e-07
"Cabp1",0.602661982963685,7.67370499959508e-06,0.000609911408685434
"Cacng3",0.655768312005958,7.63167712679722e-06,0.000609911408685434
"Cald1",1.62128248745785,3.86245520669316e-08,7.65628001095333e-06
"Ccdc60",1.83092930671229,1.04593295777016e-07,1.73011737876671e-05
"Ccdc88c",1.43511995987703,8.74422902374814e-05,0.00360870925119822
"Cd163",2.69157633032594,0.000146876075819363,0.00525010831375173
"Cd72",1.61805247514349,5.13987151939393e-06,0.000443452584146272
"Cdh8",1.92498063435219,2.27378812841073e-05,0.00136342020649828
"Cep126",0.669801077125227,0.000218720430800703,0.00703218436026122
"Chchd2",1.2553560181494,0.000280169924576477,0.00849116282309443
"Chgb",1.33905576103497,8.45704830244166e-06,0.000654330011400204
"Chst11",0.821256118715292,8.92067205026105e-06,0.000670728273120725
"Cit",0.619049545297024,7.40730726845076e-06,0.000600217110924971
"Clec12a",1.96768476581847,1.04319583864103e-06,0.000121461418397112
"Cntn5",1.21187771762869,2.26709776845604e-05,0.00136281553825609
"Cntn6",1.22097311468137,4.09707021048831e-08,7.9892869104522e-06
"Cntnap4",1.40731749092693,1.63261965886382e-09,4.66171220450579e-07
"Coch",1.45940976927509,0.000243706316336893,0.00762098565494182
"Coro2a",1.35458195937873,8.43721087770947e-05,0.00350673534124873
"Cox4i1",0.975681174841118,8.86322653323613e-05,0.00361773330301321
"Cox7a2",0.961013538467313,0.000130384757075182,0.00486357449214344
"Cpe",0.645447648763313,0.000264603103113815,0.00810537091722202
"Crem",0.678571716762944,9.26164785539808e-05,0.00373942499030275
"Crip2",1.14574845683492,3.65549701080102e-05,0.00196585416601037
"Crybg3",1.1056779134705,2.00404573639835e-06,0.000209899724836308
"Csmd3",0.765498865606394,1.50775590841302e-05,0.000998992416112878
"Cst3",0.654659211224431,0.000167650299979608,0.00579408133286874
"Ctnna1",1.07061313990714,0.000153584081554302,0.00544062508733847
"Cttnbp2",0.7212172027571,5.38462746796632e-08,1.01693141589899e-05
"Cystm1",0.634045238194381,9.96745955607269e-05,0.00393206443178295
"D7Ertd443e",1.68952147312606,1.15800580269783e-05,0.000816904975814925
