"","avg_logFC","p_val","p_val_adj"
"0610040F04Rik",-0.803874360851009,0.000139199113651334,0.00359320759172246
"1110015O18Rik",-2.27668175767115,8.82946326716384e-05,0.00263470783008479
"1520401A03Rik",-1.82775504158074,0.000267678560421953,0.00554299961294892
"1700003E16Rik",-0.979801676991263,0.000355689631100958,0.00670443038734787
"1700003F12Rik",-2.4506403243923,0.000300182287234862,0.00597387747851423
"1700010I14Rik",-3.27712086197953,3.42201916819612e-05,0.00137136374866933
"1700010K24Rik",-0.843474818132697,6.64332255205504e-05,0.00215879241744097
"1700017M07Rik",-5.78956690192598,0.000556312261747943,0.00915199815337402
"1700019D03Rik",-1.10270481375164,0.000555111243436355,0.00913795834608537
"1700023F06Rik",-1.212439563456,0.000330239047767472,0.00635553025384998
"1700025G04Rik",-0.994863530863553,0.000431600177186982,0.00758952311576493
"1700027H10Rik",-1.12614781640008,2.96019012247948e-05,0.00123563596623884
"1700030L22Rik",-5.45423208999836,0.000184492477757633,0.00430356943014233
"1700041I07Rik",-2.87129030882121,0.000409060024568876,0.00736966388741462
"1700042O10Rik",-7.10332398864929,2.9225035353765e-06,0.000226636269738976
"1700086D15Rik",-1.62635762947625,3.35567588167737e-05,0.00135302704376405
"1700120E14Rik",-5.5056691221508,5.01214151485563e-07,5.44480116876196e-05
"1700125H03Rik",-5.97768491199128,2.16220704141263e-06,0.000179313125904406
"1810019D21Rik",-4.30871133921603,0.000595908755760372,0.00953619728964993
"1810059H22Rik",-2.89574770913043,1.48704173763126e-10,5.69378700429382e-08
"2010106G04Rik",-4.21116442062069,0.000140446869324353,0.00361272773744415
"2010308F09Rik",-1.00232289487924,9.67982304555726e-05,0.00281808270259861
"2210408F21Rik",-1.00188080130715,0.0001704628075911,0.00408877440580514
"2310047D07Rik",-3.36226813440899,0.000389884711685186,0.00711783276770268
"2410124H12Rik",-6.3709312277345,7.68512922333203e-06,0.000461251793983089
"2510046G10Rik",-1.45271305614374,1.01406142868404e-06,9.83714424305343e-05
"2700038G22Rik",-2.28302741288699,2.02663662172759e-06,0.000171861254231561
"2700054A10Rik",-1.13964407627152,0.000159281405113615,0.00392073863205226
"2810002D19Rik",-0.970486376003544,3.91352282935294e-05,0.00149321627954803
"2810403D21Rik",-0.775007190592187,5.46940293452182e-05,0.00189190965454795
"2810454H06Rik",-0.88724561028412,4.21433233604479e-06,0.000294202209268501
"2810455O05Rik",-0.890308725235458,0.000127045124062802,0.00338630153778484
"2810457G06Rik",-1.93689017177487,0.000234591488332642,0.00509944695836573
"2810459M11Rik",-2.75409906894196,0.000366044997595427,0.00681030215271493
"2900041M22Rik",-2.85552396197322,3.08083600363228e-05,0.00127146150234677
"2900093K20Rik",-1.03272552018447,6.5513233881794e-06,0.00041513638757338
"3110009F21Rik",-6.19181105775881,0.000339384960230168,0.00647599743423846
"3830408C21Rik",-1.51556383109504,4.42954444651108e-05,0.0016263728205912
"4732419C18Rik",-2.80160172375845,0.000406272969477332,0.00734560529201484
"4833405L11Rik",-1.81506595530591,0.000196879108012419,0.00448894611495098
"4833422C13Rik",-1.4571471755389,6.86351906759604e-05,0.00220042747278088
"4930408O17Rik",-2.54189612096786,1.14947285029112e-05,0.000616703913495983
"4930412F09Rik",-4.95949740991624,1.82945392732313e-06,0.000158205639129598
"4930417H01Rik",-1.42822153365904,0.000236466227261465,0.00512486450822477
"4930426D05Rik",-2.71377562795202,1.16957485544636e-06,0.000110204133959962
"4930431P22Rik",-2.45132076641154,2.32655852002307e-05,0.00103141478807566
"4930432K21Rik",-1.69539191498474,0.000312075065968453,0.00612249358898856
"4930443O20Rik",-2.67189025396986,7.21265188660669e-05,0.00226539313556754
"4930444A19Rik",-3.99678079126208,0.000241971097707759,0.00519877175835506
"4930447A16Rik",-6.17914352942509,3.7703170612459e-05,0.00146484512273366
"4930449E18Rik",-2.60427261771017,0.000174112542137389,0.00415357951020856
"4930452B06Rik",-0.675636124882733,0.000197086590333517,0.00448978281913156
"4930473D10Rik",-3.14141133014457,6.41660928914796e-06,0.000408441262959832
"4930474H06Rik",-3.92465012731894,0.000511312262509867,0.00854332926633796
"4930511M06Rik",-3.33931448957061,1.6571245873469e-05,0.000797878173567084
"4930518C09Rik",-6.00416023664567,3.10693756649879e-09,8.33451853935578e-07
"4930528P14Rik",-5.33944307004324,0.000117001715258102,0.00322723525155191
"4930533B01Rik",-1.63196545911952,0.000119182852031621,0.00326254793289534
"4930539E08Rik",-2.86176714885672,0.000381520432546121,0.00700404375084147
"4930579K19Rik",-0.850134080266151,0.000335399510340889,0.00643807414058389
"4930579O11Rik",-4.25731585176199,6.39907512447137e-05,0.00210281607434035
