"","avg_logFC","p_val","p_val_adj"
"1700037H04Rik",1.66597312180345,3.97730585998471e-10,1.0635610484848e-07
"2210016L21Rik",0.862553755812473,1.17083194978348e-07,1.30722783671702e-05
"2310033P09Rik",1.05879504102528,9.28584223773643e-09,1.53526431284272e-06
"6530403H02Rik",0.799058759022361,3.58277157513616e-05,0.00161672567328019
"9330162012Rik",4.28658315783013,0.00016461209544756,0.00545183178500636
"A330008L17Rik",2.02528603605199,5.78955503378376e-07,5.06815243701158e-05
"Aarsd1",0.779973416503117,0.000121157139152951,0.0042950304976316
"Actb",0.814343492247988,1.77540968550902e-07,1.83120827562502e-05
"Actn2",0.771580775947855,8.20779419488956e-06,0.000458197995518835
"Adora2a",1.29820351243153,6.37582957779021e-05,0.00255268888456443
"AI593442",2.39601925377765,4.60467394383514e-13,3.83604760090266e-10
"Akap5",1.08911995801517,6.59817076299327e-07,5.69387963053523e-05
"Aldoa",0.930899298653478,3.21636072959817e-08,4.32710393808052e-06
"Ankrd37",1.51293122919783,3.62562774040321e-05,0.00162927586840526
"Ano3",0.625077088681701,3.14568570755342e-07,3.02824677447143e-05
"Aplp1",0.632777177900698,6.24626240594426e-05,0.00251475917681697
"Arf5",0.933173159451133,1.8401417857854e-06,0.000127748304743948
"Arhgap20",1.00413738739553,1.23017967919806e-07,1.34996032685365e-05
"Arl6ip1",0.602096412252558,2.77855646314112e-05,0.00130267387427785
"Arpc5l",0.877185801639104,8.82437270572185e-09,1.47027625235335e-06
"Arpp19",1.02228395371547,8.66451736990625e-13,6.70262307972034e-10
"Arpp21",1.56851616070817,8.30592470379708e-29,1.79906329084245e-24
"Asphd1",1.39398457410642,0.000174929415188856,0.00570956755975464
"Ass1",1.98551867075986,2.3148723479551e-06,0.000153333746350787
"Astn2",0.676603840338556,0.000177640830191702,0.00576866623980848
"Atp1b1",0.763078012789236,6.50669130235075e-10,1.59662011683735e-07
"Atp2b1",0.692828579858538,3.91015070562347e-10,1.05867330354755e-07
"Atp5a1",0.592225887338287,5.55540639967574e-06,0.000329671514019114
"Atp5b",0.619524369541208,1.46303654533255e-05,0.000743881961781763
"Atp5d",0.855524786399078,1.72252158627334e-07,1.80240664534688e-05
"Atp5e",0.750483717822004,2.76425227536517e-05,0.00129877883480281
"Atp5f1",0.730196394774102,1.69188406036077e-07,1.78761993889826e-05
"Atp5g1",1.05767771455524,4.11159758172739e-10,1.08606345878311e-07
"Atp5g3",1.05318292997677,4.84722509278506e-08,6.06883789073551e-06
"Atp5h",0.855186420604651,1.14758074276761e-09,2.58478988853455e-07
"Atp5j",0.727372616211196,7.26970496448931e-07,6.103170912048e-05
"Atp5j2",0.696278700364506,4.05587924580562e-06,0.000249574842227698
"Atp5l",1.03740564078833,1.98125319103237e-09,4.20724942330992e-07
"Atp5md",0.668221948241574,7.0873054721406e-05,0.00276640815663373
"Atp5o",1.00761541541118,2.79762425597639e-11,1.12215817378609e-08
"Atp6v0c",0.803088419743332,6.04501728947561e-11,2.11185604016196e-08
"Atp6v1d",0.894792298648453,1.29597835424496e-11,5.97253003254165e-09
"Atp6v1f",0.986587492735336,2.21492083584249e-08,3.11527177300963e-06
"Aurkaip1",1.16733869404113,2.90493089720885e-09,5.72007302123124e-07
"Avpi1",1.42031158405064,0.000203275990309558,0.00642767583956937
"AY036118",0.78733215415422,9.74813884661479e-05,0.00362169275158965
"B4gat1",0.968975521640623,0.000144757292221312,0.00490679647811207
"Bag5",1.03021445385071,1.79567746722342e-06,0.000125465722387288
"Bcl11b",0.681283207139824,3.95956222036838e-08,5.22951937153531e-06
"Bloc1s1",1.24575679679616,0.000230578370092463,0.00713475356600392
"Btf3",0.69401160353734,1.05569481263154e-05,0.000565998753504932
"Bud31",0.760482130367717,0.000259838883439983,0.00783859361463792
"Bzw1",0.62259501813943,0.000120733943153613,0.0042950304976316
"C030004G16Rik",3.44778545903882,0.000285687593099143,0.00847670310483212
"C1qbp",1.2301868112311,5.79898355812485e-07,5.06815243701158e-05
"Cacng4",1.02190744952033,8.61160442072688e-06,0.000477052050519039
"Cacybp",0.999637908014361,4.31475738254904e-07,3.9600696994073e-05
"Cadm3",1.03241296563206,7.89616967686539e-05,0.00301137384218959
"Calb1",2.34261804338233,5.57729104554913e-24,4.02680413488647e-20
"Calm1",1.07613037519697,3.54652753633928e-16,9.60222330463861e-13
"Calm2",0.846634631433088,7.25337308681445e-15,1.16478877168718e-11
"Calm3",1.16599867195965,1.46841436062788e-12,1.02599532423226e-09
"Caly",0.896328786547598,1.23748750661917e-06,9.41715088798861e-05
"Camk2n1",1.01483157695948,1.63699519214669e-08,2.39576458526333e-06
"Car11",1.30980408827735,6.30665121754269e-06,0.000365246164096189
"Ccdc124",0.753907000859127,7.7292444390732e-05,0.00297892232295953
"Ccdc85b",1.31467688417187,2.62125240962441e-10,7.47056936742957e-08
"Ccnd2",2.06796195857099,2.95439436622382e-12,1.77756061034467e-09
"Cct7",0.683739087596951,3.37891963230067e-05,0.00153755040410992
"Cdh11",0.811413250063222,1.85210455690809e-06,0.000127759823893724
"Cdh9",0.671885507151495,0.000207727265055103,0.00653978569926386
"Cdk5r2",1.17219152430679,1.39635428925996e-05,0.000720119854889779
"Celf5",0.660589849329392,9.60951157262144e-05,0.00357632337908901
"Cend1",1.63796176680697,4.22326119898613e-08,5.47759506407423e-06
"Cep126",1.7206824881118,1.23403575584959e-07,1.34996032685365e-05
"Cep19",1.30397556084555,7.11803274216175e-05,0.00276798185269701
"Chchd10",1.64403974082154,2.91509984311954e-10,8.20013800025573e-08
"Chchd2",1.37833358629885,2.42534188200257e-22,1.31332262910439e-18
"Chgb",1.60338636667341,3.62471726667983e-15,6.54261466635709e-12
"Chmp2a",0.895653023683994,9.68998731066566e-08,1.10465855341589e-05
"Chn1",0.695278217423492,1.29410443929267e-08,2.01656850036541e-06
