"","avg_logFC","p_val","p_val_adj"
"4930587E11Rik",-3.26901600465971,2.59447602313118e-07,2.45189264516432e-05
"A830036E02Rik",-3.46472741848873,3.68237216298766e-06,0.000225464905168168
"Adam2",-2.22593093939524,0.000315676291043237,0.00880813846227958
"Adam33",-2.76465396237035,4.56293485866524e-05,0.00189636619671028
"Alox5",-0.846820426379333,1.35674543028039e-05,0.000684227811428643
"Atp2a1",-2.31970286594801,0.000207815520481888,0.00632643999046824
"Atp2b4",-2.6803045260809,5.31239514677229e-07,4.47558995776133e-05
"Atp8b1",-1.00411495055576,7.11288325433519e-06,0.000389434837320478
"Brpf3",-0.614487494966532,0.000265555841281719,0.0076472727530119
"C4b",-5.40727213835847,0.000104316332251679,0.00366303683008481
"C77080",-1.62160257053803,0.000333763403432685,0.00919477989481983
"Cartpt",-4.26361751094036,0.000192504666312554,0.00591836128284253
"Ccl4",-1.86795979201944,0.000322692522263937,0.0089579114481851
"Cd34",-1.34222464531611,3.24864129859307e-07,2.96691038933693e-05
"Cdh4",-2.06108431137334,0.000163311829412025,0.0051940209444934
"Chpf2",-0.866711859536115,0.000255203853229518,0.00748597969473251
"Cpne7",-4.52428677047933,6.79255741787926e-08,7.81180042513352e-06
"Csgalnact1",-2.62990233299238,8.62086312800518e-05,0.00315459732239597
"Cyp26b1",-6.05786580026159,2.51520668888985e-06,0.000162709918421755
"Dab2",-1.18458830476843,2.63406588632303e-06,0.00016839428266211
"Dalrd3",-0.900544470698843,0.000361679140435732,0.00972952697588004
"Farp1",-0.633815157947347,0.000288492230329711,0.00816493114381066
"Fbxl7",-1.7749722448991,7.98120156549029e-06,0.000429404448582913
"Fgr",-1.56060869707902,0.000191894651452029,0.00591634346661178
"Gm11290",-1.46799491513695,3.13833303704655e-05,0.00141302322054032
"Gm20274",-1.40086912839854,0.000169090724903671,0.00531889435094963
"Gm3164",-0.787325998043483,0.000340945213307907,0.00934677407293063
"Gm3636",-1.04309475445043,0.000111254304474998,0.00386795225116231
"Gm47271",-1.75403263573039,4.78684342478476e-05,0.00197432312487897
"Gpr83",-1.44989038816151,5.88729537774456e-06,0.000334115541333305
"Grik4",-2.02157133882337,2.01452520156782e-05,0.000970902877633661
"Gsdmd",-0.77338369319645,2.42836637818513e-06,0.000158507422210907
"Hap1",-2.25105481461,6.28748393916163e-06,0.000353138891218649
"Ifit1",-4.92685736430751,0.000258708602643285,0.00754804051953618
"Igf1",-2.33439677319158,7.03337351930324e-05,0.00266801757095245
"Ipcef1",-0.76294866706714,1.08365479758176e-06,7.90413445645542e-05
"Ldlrad3",-1.43529812019651,0.000119842037218018,0.00411514458289231
"Lgals3",-4.88183672945813,0.000178159751847506,0.00555592591988149
"Ltk",-4.4986461611741,0.000360196321213692,0.00972574812161592
"Lypd6",-1.25811578849355,8.66300994475007e-08,9.65636841841474e-06
"March3",-0.788286151423211,4.54837911601237e-06,0.000272351428280013
"Mdga1",-2.87221316981436,7.42746089335452e-09,1.17841817502156e-06
"Mmp23",-2.47588628113183,0.000103110520820371,0.0036383283775188
"Ms4a4a",-2.81140282018277,0.00012082213650734,0.0041357322190922
"Myo1b",-0.668607898729122,4.31464834273313e-05,0.00180352300726245
"Ndst3",-2.22438652741576,0.000192258663061828,0.00591836128284253
"Nxf1",-0.600627956882524,0.000116030575593483,0.00400323903349199
"Otof",-3.33059557986715,2.18750521902629e-08,3.08750736628283e-06
"Pabpc4",-0.641111018948399,0.000153928767681549,0.00497886264036629
"Pde1a",-3.00326178543128,6.01932202775525e-05,0.00237451875853517
"Pkp2",-2.93720876486053,0.000168950727457789,0.00531889435094963
"Rftn1",-0.751817935718629,3.28193825200605e-05,0.00146180757880335
"Scml4",-4.62657240955673,0.000222258167772816,0.00670042099127591
"Shank1",-1.84809659085937,0.000174595629591301,0.00548276461575783
"Slc35f4",-1.86305495810612,0.000191880776234742,0.00591634346661178
"Slco4a1",-1.04292689431916,6.85334996357971e-05,0.00262723835640862
"Slit2",-2.65982173930694,2.87922507394949e-05,0.00131753339383929
"Tac2",-6.74647355231128,1.44684760450749e-05,0.000722958150151143
"Upk1b",-1.00793395190369,7.36623303494921e-06,0.0004012843139039
"Wfs1",-1.19237471032436,6.47012013528838e-05,0.00251582345725632
"Xylt1",-1.78088372898906,1.17839432586499e-06,8.45332642475292e-05
"Zfp395",-0.614636847688878,0.000166600988953792,0.00527109038704456
