"","avg_logFC","p_val","p_val_adj"
"1700037H04Rik",1.68422805937761,2.06253340962448e-10,5.89884555152602e-08
"2210016L21Rik",0.88789446288831,2.97187605601823e-08,3.88775551417948e-06
"2310033P09Rik",1.03182828476605,7.41951505928384e-09,1.17841817502156e-06
"6530403H02Rik",0.802045153137436,2.33585051592567e-05,0.00109896205225455
"9330162012Rik",4.30475839670812,0.000144692000456396,0.00478694873960462
"A330008L17Rik",2.08293091958049,2.8326954599102e-07,2.62006249006843e-05
"Aarsd1",0.783529497501229,9.94770494962521e-05,0.00353884312250497
"Actb",0.820342081145598,1.5715121985836e-07,1.58140690501913e-05
"Actn2",0.783119631150639,4.25386732750369e-06,0.000257554485322062
"Ado",1.02740207989976,0.000345233529196786,0.00943898866744823
"Adora2a",1.27366432266275,0.000151384933263431,0.00493661963881912
"AI593442",2.40586957087147,2.25792111115129e-12,1.44347568447013e-09
"Akap5",1.12904387896272,2.1023714876372e-07,2.02301461526159e-05
"Aldoa",0.941453095463371,2.63213679257559e-08,3.53024164233292e-06
"Ankrd37",1.49171092755789,4.1106840958877e-05,0.00174511385758233
"Ano3",0.635175485897043,1.96501001652395e-07,1.92405728349114e-05
"Aplp1",0.636390374482362,6.3499010791748e-05,0.00247794344446936
"Arf5",0.94496305235107,1.02645610895564e-06,7.66702748599994e-05
"Arhgap20",1.01372097131016,4.91787327328191e-08,5.93283027876507e-06
"Arl6ip1",0.621900048504044,1.38617836972753e-05,0.000695842333588858
"Arpc5l",0.89430473466992,9.20298761730005e-09,1.43910891258729e-06
"Arpp19",1.03351290776785,3.75244804924876e-13,3.13704656917196e-10
"Arpp21",1.58218963393676,6.96178345262604e-29,1.5132132512628e-24
"Asphd1",1.42801156215519,0.000132243554453447,0.00443587330185205
"Ass1",1.95205853275449,4.52189496181994e-06,0.00027151356046994
"Astn2",0.675384696000122,0.000130965651613144,0.004413440935602
"Atp1b1",0.773705652066208,4.81564397224352e-10,1.20313606184696e-07
"Atp2b1",0.686818822574084,3.28351434378141e-10,8.49648425909914e-08
"Atp5a1",0.597148202839768,3.36929393601241e-06,0.000208053900548766
"Atp5b",0.634308411883872,6.80401062674169e-06,0.00037441006324774
"Atp5d",0.862483171231176,9.78175353445522e-08,1.06308097412459e-05
"Atp5e",0.76609916193206,2.13055671834168e-05,0.00102003922532764
"Atp5f1",0.746335626564519,8.59352612918113e-08,9.65636841841474e-06
"Atp5g1",1.07473012545157,2.26324152241493e-10,6.38880749755987e-08
"Atp5g3",1.05900696264497,8.94610420439476e-08,9.9210469891186e-06
"Atp5h",0.86908250379219,9.88856743876758e-10,2.14937901849052e-07
"Atp5j",0.750521671736207,2.99936738928655e-07,2.7508122182925e-05
"Atp5j2",0.693859828345921,4.08320676508789e-06,0.000247912240910476
"Atp5l",1.00439965309815,2.60517981850018e-09,4.97330092966521e-07
"Atp5md",0.686102602808976,4.32506133768141e-05,0.00180440562832712
"Atp5o",1.038691129916,1.7408891238223e-11,7.27691653757723e-09
"Atp6v0c",0.799420448010878,7.17082438506395e-11,2.36159149748106e-08
"Atp6v1d",0.904955064015715,1.29571414075059e-11,5.65762451123793e-09
"Atp6v1f",0.996459375857575,2.27340864799655e-08,3.14744015113714e-06
"Aurkaip1",1.17121999680443,3.99938530471163e-09,7.18435032919108e-07
"Avpi1",1.45743045541337,0.000153023612488247,0.00496342681177226
"AY036118",0.791414386248515,0.000102159006177481,0.00361061489150199
"B4gat1",0.989289332732878,0.000128141933226085,0.0043398167833586
"Bag5",1.02470649392806,1.44594444576398e-06,0.000100412295441296
"Bcl11b",0.692799802277128,2.23344991593338e-08,3.13201724985342e-06
"Bloc1s1",1.28542152927268,0.000146129399028185,0.00481983098221037
"Btf3",0.716985642436486,4.84059166705135e-06,0.000285910599116924
"Bud31",0.791075805863495,0.000147864159066826,0.00486229252870882
"Bzw1",0.636699212960885,0.000102136563097174,0.00361061489150199
"C030004G16Rik",3.47654282293275,0.00025428045743099,0.00747907986836264
"C1qbp",1.18582863539468,2.10209060844235e-06,0.000139727955550774
