"","avg_logFC","p_val","p_val_adj"
"Calm1",0.975534840290906,3.71546670063022e-06,0.00667804473983273
"Calm2",0.968902922452726,1.24891721825552e-07,0.000609723467608852
"Chchd10",1.35409495175051,9.16355958981086e-07,0.00181172736650151
"Chchd2",1.19966284256332,2.39995110247366e-07,0.000790823887450114
"Cnr1",1.86996458063219,8.07823562579071e-06,0.00887304425319489
"Egr1",2.14885908860669,3.71719241408298e-07,0.00104989444598335
"Gm15270",3.04205238238548,8.60875319449151e-06,0.00895808733727851
"Nrgn",1.65537868495683,8.21465591807059e-10,8.12059810780868e-06
"Pcp4",1.64407508040484,1.54196415863854e-07,0.000609723467608852
"Pcp4l1",2.21195122053816,7.93135497366913e-07,0.00174234243538236
"Ptpn13",1.13618626719042,5.58351085701442e-06,0.00849166101184862
"Tac1",1.46186643508235,4.77347414775298e-06,0.00786469644793534
"Tesc",1.56977918856764,7.96664544672162e-06,0.00887304425319489
