"","avg_logFC","p_val","p_val_adj"
"1700023F02Rik",1.31830144801539,0.000158523808308662,0.00727624280136759
"4933406I18Rik",0.927283791859545,8.33298489156699e-05,0.00438581660812954
"9530036O11Rik",2.164285387489,3.53255869351724e-06,0.000299236527613518
"A330008L17Rik",3.04790791754304,1.08914634543418e-17,1.26449890704909e-14
"A730020E08Rik",2.25065615551394,1.42632278767043e-05,0.00103497547280335
"Abhd2",2.08375842063956,2.43971018260944e-05,0.00162129831226136
"Abtb2",1.61122262973531,8.10310735631893e-05,0.00428769517135836
"Adamts17",1.56244117497846,1.59080231408317e-07,2.12146386980133e-05
"Adamtsl3",3.23548339349647,9.17121760737788e-05,0.00469847906366289
"Adarb1",0.91836935156602,0.000195772115077914,0.00884200053842744
"Adcy2",1.48909391829222,2.68459378556922e-05,0.0017487071797287
"Afap1",1.31537298074477,7.4065513803848e-06,0.000594240262579898
"Agbl1",2.75725632966421,0.000172799221981762,0.00787653174192618
"Alk",1.58178553635003,5.54881145331658e-10,1.42229729420921e-07
"Ano1",1.52900650161426,9.07193489009274e-07,9.57501491581606e-05
"Ano6",0.998080894627001,3.25935660562319e-05,0.00206185645273028
"Apba1",0.819172086149587,6.55421067070609e-05,0.00362354218509037
"Apbb1ip",2.73459841717021,0.000160015581510804,0.00732767408881376
"Arap2",1.61959477538544,0.000123825026982653,0.00593187999406948
"Arhgap31",1.69509576766065,1.60960246625931e-05,0.00114985565235607
"Arpp21",2.70479401505631,2.67981668471012e-11,8.81525698435394e-09
"Arx",1.30479086900699,6.13990172268641e-05,0.00342325537572491
"Atp2b2",0.916606663421732,4.14265193038412e-05,0.00250041349082543
"Bcar3",2.10750841307469,3.6937811475214e-09,7.92436505528585e-07
"Brinp1",2.1864161101946,8.07199576501316e-08,1.16289766725595e-05
"Brinp3",1.51496307724169,1.18004456896753e-05,0.000888951895332528
"C530044C16Rik",5.30522626499317,6.14349715922847e-08,9.18592450240094e-06
"Cabp1",1.55984386117826,5.94594829315297e-09,1.19750185165265e-06
"Cacna1i",3.8017689738407,1.86057853741949e-06,0.000176549224005041
"Cacnb3",1.48363355633423,1.05974386107988e-05,0.000807573922244541
"Cacng3",1.96727027957527,0.000113771127003174,0.00557196211826713
"Cadm3",0.863748596051073,0.000205257083650798,0.00914668624069142
"Caln1",1.62438813655797,9.09384620373923e-05,0.0046862987603969
"Cbfb",1.84934890062273,1.2632395605997e-13,6.92571089098787e-11
"Ccser1",1.39748340337425,1.84375303201555e-08,3.27839221557575e-06
"Cdh10",1.55185487254882,6.38471377704545e-08,9.33445154204045e-06
"Cdh11",3.36723063180838,9.38757448339904e-32,1.85282557578847e-27
"Cdh13",3.27522762426937,3.79882225504426e-11,1.20931217496465e-08
"Cdh18",2.09437738065896,1.15327216004082e-10,3.25173323181794e-08
"Cdh20",2.8478695998272,2.61195158007903e-16,2.45486134933428e-13
"Cdh8",3.11278332785017,6.70004916799553e-18,8.26492940179548e-15
"Cemip",3.43269169554972,9.48822880179265e-12,3.46794762705521e-09
"Cfh",4.40214272451932,7.21568396798132e-10,1.75822166019812e-07
"Chgb",2.05437192958915,5.34651103549784e-08,8.44192706460967e-06
"Cldn34c1",1.36861602450188,1.12848278823695e-05,0.000853366467104697
"Clstn2",1.18429106648424,0.000104303641265302,0.00514044404524763
"Cntn4",2.83372635621583,1.94160724790558e-19,4.25794469465693e-16
"Cntn6",1.5148156899533,3.17293307158352e-10,8.46272703160052e-08
"Cntnap2",1.32619312088423,3.73229842491959e-07,4.31646003825066e-05
"Cntnap5a",1.47577641661676,1.82633992925145e-07,2.35597850873437e-05
"Cobl",1.36849615863581,2.90299443710009e-09,6.3662668005605e-07
"Cpne7",1.57174047975928,1.74795525868644e-07,2.2847280093175e-05
"Cpq",1.13489887180994,0.00010026411138618,0.00500990573779505
"Crim1",1.58646637292888,5.62302019952218e-08,8.72050422732031e-06
"Cryz",2.20742367778479,4.55454295120719e-06,0.000380902602660917
"Csnk1g1",0.816721034558791,0.00022230423099905,0.00981570158216612
"Cxcl14",1.52734291475498,5.13310636124088e-05,0.00293658319570468
"Dab1",1.25474687182882,2.90178819313127e-06,0.000259152007094262
"Dgkb",1.16790119602301,3.44681528582448e-05,0.00215284156001006
"Dlx6os1",1.86773381167563,0.000139535615903156,0.00652610059497769
"Dock11",1.53782360803344,2.59433218165218e-08,4.49160826923412e-06
"Drd2",2.0955638225217,7.67651439411728e-05,0.00409490174585656
"Dysf",0.974673295783576,8.27921880938185e-05,0.00436916956258742
"Elfn1",0.907848241015988,6.60825128734499e-05,0.00363306561722363
"Elovl5",1.21286441569874,2.22623405036901e-05,0.00151849083082119
"Epha5",0.978939550327873,2.9177626147802e-05,0.00188812723698088
