"","avg_logFC","p_val","p_val_adj"
"2610307P16Rik",2.40697379339908,7.09842731651231e-09,2.42042978233982e-06
"4930447N08Rik",2.22444483147409,4.33165272108838e-08,1.15120041140455e-05
"9330158H04Rik",2.49448229311331,9.22329691202906e-05,0.00651107116383551
"A830036E02Rik",1.92137843641803,2.37060653694258e-05,0.00234107111123641
"A930009A15Rik",2.38641601411071,6.85251364294261e-05,0.00509679718311183
"Actb",1.39943321312001,7.39890123772166e-06,0.000922158228745557
"Actg1",1.50896977681742,1.12434000354605e-05,0.00131090790606995
"Ano3",2.02544245547775,2.85390508806184e-07,5.86088326721063e-05
"Aox3",6.12984639973321,2.88457824968498e-14,2.89611656268372e-11
"Apold1",2.74484066057438,2.26515846347853e-05,0.00230257611894792
"Arhgap15",2.06850837799974,0.000110992422366543,0.00756926436606857
"Arpp21",1.31263493009121,2.10347208687105e-05,0.00215988338374623
"Asic1",1.71266519925289,1.27147309184204e-05,0.00146357080992162
"Atp2b1",1.81110441069996,4.93034792584681e-09,1.78202495431807e-06
"Atp5h",1.51596013685461,1.88971294001235e-05,0.00197404001456087
"Atp6ap1l",2.16521628762023,9.12555512016221e-05,0.00646733459339496
"Auts2",1.35318527747584,1.73532506254919e-05,0.0018667139601422
"Baiap2",2.29295980988741,5.94159284987781e-10,2.82569647323663e-07
"Brinp1",1.60624781010132,1.71026490187998e-07,3.95693895763502e-05
"Cacng5",3.06963810215545,5.55417358878509e-12,3.86057788832785e-09
"Cadm2",1.61992425604009,2.92129703006168e-07,5.93187414913199e-05
"Calb2",1.30413601434027,6.45176671589669e-05,0.00486634823206076
"Calm2",1.281815556118,3.6439310954376e-05,0.00313586298841658
"Camk2n1",1.42782130174524,6.5503393126993e-05,0.00491193908958929
"Cdca7l",3.24328281987841,5.05276954023824e-08,1.32338624827805e-05
"Cdh12",1.35237622055209,1.04275173541981e-05,0.00124798737500045
"Cdh6",3.35530383340179,6.62416755684236e-12,4.43377615137982e-09
"Cdk14",1.24151096077713,5.23359273599136e-05,0.00413019597925048
"Cdkn1b",3.06177239086397,2.23450388701993e-08,6.5037217580005e-06
"Cecr2",3.29917631403605,4.34196989003844e-09,1.6013893847505e-06
"Cfap61",2.7131706982974,7.1130825575952e-06,0.000892691860978198
"Chchd10",1.81787999177471,1.56330470843715e-06,0.000252250381168538
"Chchd2",1.32515317798887,7.4678226189268e-05,0.00544187461166311
"Chml",2.9739306407418,2.8726950014847e-05,0.00268991420035397
"Ckb",1.81263130126661,6.39698095914507e-09,2.26678901752293e-06
"Clic4",3.02099105235908,6.98345577352221e-07,0.000124955458157518
"Cmya5",3.34517043088632,4.8338571788206e-05,0.0038998869167699
"Cox4i1",1.36379277676925,1.847173774281e-05,0.00195217102039803
"Cpa6",3.64636056719696,7.63324399642818e-05,0.00551227436050814
"Cpne5",2.15056239211795,1.39926278402462e-08,4.46024588003496e-06
"Cpne8",2.2851572034954,1.52112095568169e-12,1.19520425700346e-09
"Dach1",1.53217012969764,2.3080001641205e-05,0.00230442977712628
"Dapk1",1.23571686469697,7.80936968640923e-05,0.00557829758785722
"Dcc",1.26301228305686,5.53713275981965e-05,0.00429472374401119
"Dgkb",1.6515977222609,1.14472012088879e-07,2.72202395061872e-05
"Dlx2",3.44364642868586,1.93223787863488e-06,0.000301029335712841
"Dmkn",4.4511896390919,1.67267340722631e-05,0.00182099721779481
"Dynll1",1.57571491314428,1.57006404533239e-05,0.00173013398946628
"Egf",3.26400161133131,3.5987183875835e-08,9.85394525763772e-06
"Egr4",4.48837516364486,1.41620185270933e-05,0.00160966036994736
"Eif1",1.58545619733397,1.05263297239876e-06,0.00017614058404806
"Eif1a",2.7777147264685,5.61682207129612e-05,0.00433791489198562
"Eif3c",1.42277290125956,0.000153042781997834,0.00980776296547821
"Etv1",1.31120076536083,5.45923467889781e-05,0.00425255556538971
"Fam78b",1.56763234381643,0.000105272371170099,0.00726527560338706
"Fbln2",3.02833708617277,5.16745642146099e-06,0.000681919414639384
"Gm32569",4.81844142214293,1.0269016283822e-06,0.00017344080587031
"Gm41836",4.36197174307077,2.47489190070257e-05,0.00240463690481166
"Gm43623",4.3869196328067,3.11973390720076e-05,0.00283011858638821
"Gpr88",2.3965673393346,6.41865123886996e-08,1.61108146095636e-05
"Gpx1",2.77486971484453,1.43012253910802e-05,0.00161304407170827
"Hdac9",1.30100558043037,2.6956971455781e-05,0.00258994351674321
"Hivep2",1.19280877991423,0.000136213057778595,0.0088942762761047
"Hpca",1.9953092736054,7.29304167063959e-07,0.000127961018516309
"Hs3st4",1.52743525871039,8.20719967598133e-07,0.000142157764077853
"Hsp90aa1",1.20398913330064,0.000123136738568298,0.00824195236817142
"Hsp90ab1",1.3583483272343,1.43703018783218e-05,0.00161304407170827
"Htr1f",1.32589872207341,2.07023492711687e-05,0.00213790203444892
"Hydin",4.03600261076231,1.17945518683047e-11,7.61254076300012e-09
"Igf1r",1.36920044687143,9.72448707718849e-06,0.00117946933193926
"Igfbpl1",5.01578362975404,1.1537117263488e-15,1.30311739491097e-12
"Igsf21",2.26543335777276,1.3979502997898e-11,8.71164062682803e-09
"Inka2",2.30884766757372,2.28944788457841e-05,0.00230257611894792
"Itpr1",1.28569672973277,3.63568968033005e-05,0.00313586298841658
"Kcnip2",3.4040691818438,1.86281212762261e-16,2.80539506419964e-13
"Klf9",1.61991719584956,3.00393156446444e-05,0.00276974751188783
"Lgr5",2.77410386840436,6.17814008855156e-16,7.97509626287885e-13
"Lgr6",5.73864863928972,1.6844061269914e-11,9.81954436354472e-09
"Lix1",1.72085990372921,0.000132671197165945,0.00871866863702891
"Maml2",1.28523101412546,6.09063047541118e-05,0.00466397770981487
"Maml3",1.40385894916324,4.91643784021464e-06,0.000673105035214841
"Man1a",1.41357179863456,5.09406706528989e-06,0.000681919414639384
"Mapk4",1.69154368576897,1.72973759214899e-07,3.95693895763502e-05
"Meis2",1.62577317137247,2.08960448428905e-07,4.60528441952093e-05
"Mob3b",2.30836195476918,2.16227440481127e-07,4.70802687274087e-05
"Mrpl35",2.76117165182585,7.67840401227313e-05,0.00551227436050814
"Msi2",1.36120666941957,1.05584372013687e-05,0.00125004557906913
"Nectin3",1.69251922707379,1.21939155874569e-05,0.00141261822113155
"Nhsl1",2.59459725329114,0.000109633535392925,0.0075049138318975
"Npffr2",5.61836893598403,1.66389796955143e-10,8.19515296555981e-08
"Nrgn",2.32221443453036,2.95753278801781e-12,2.22702218937741e-09
"Nrsn1",1.85456648474562,1.4267620161893e-08,4.46024588003496e-06
