"","avg_logFC","p_val","p_val_adj"
"9530036O11Rik",1.27698461303213,0.000117920358240554,0.00865644537290447
"9530059O14Rik",0.786488370083342,8.76147362408308e-06,0.00124642536494887
"A330008L17Rik",1.53149322038478,2.64231055865801e-08,1.26757167916273e-05
"A330074K22Rik",1.95928160749753,2.48429089093498e-06,0.000448867310444861
"Abtb2",2.15557229300512,2.01846377344314e-07,6.30861677554321e-05
"Agbl4",0.651408162403414,2.56847372572793e-05,0.00295991486113495
"AI593442",1.04628856051804,6.71007724055072e-05,0.00586506242873222
"Ankrd6",1.04743605887146,9.04788751209341e-08,3.21792799309419e-05
"Arhgap22",2.25407124154791,2.32116354386972e-09,1.77336894751646e-06
"Arpp21",1.35656403719808,7.44940546195515e-09,4.15314421268137e-06
"Atp2c1",1.0569641563873,1.81049314044615e-06,0.000342631674322232
"Atp7a",1.08861932928787,3.29869466681565e-05,0.00354403508266006
"Auts2",0.585525758474225,7.35759246465006e-05,0.006271587494248
"B020031H02Rik",2.52809066988787,3.11253564217502e-14,9.17219788954091e-11
"B3galt1",1.24163545640255,6.38425155036626e-14,1.46327045534395e-10
"B3glct",1.28754288153191,1.53679571199549e-05,0.00194484797221122
"Bhlhe40",1.93087171265902,3.94113770150249e-05,0.00406488942532967
"Brinp1",1.15518531613611,6.42499796572413e-06,0.00100405195482543
"Brinp2",0.704091658686275,9.72153285996975e-05,0.00762493459450403
"Cadps2",1.48748192628331,6.96970821422809e-07,0.000161540607913592
"Calca",3.30321856591324,3.48636773509847e-05,0.00368804069946724
"Caln1",1.03998207268347,2.69125382449763e-09,1.91431668592197e-06
"Ccdc171",1.01696769408293,4.89843551867072e-05,0.00478885914119145
"Cdh20",1.68769568393141,1.27149284368693e-07,4.29973022615968e-05
"Cdh8",1.04879579625291,6.0430307669958e-05,0.0055899389534345
"Cerk",1.02413410459804,2.80675459674319e-05,0.003181194166023
"Cfap61",1.46847057671079,3.05654579182273e-07,9.137742984597e-05
"Cited1",3.79294965186371,5.90289488455542e-05,0.00556004181180864
"Clstn2",1.39143557787477,6.94208282029887e-06,0.00103769046679076
"Cpne9",1.88232933508922,2.84971155560627e-06,0.000502426068111505
"Csmd1",0.782545601729775,1.25119707060945e-06,0.00025554151655972
"Dgkb",1.31094267496815,2.75330094794093e-08,1.27370328226241e-05
"Dgkg",1.12460365566597,5.25459558514475e-09,3.28459993122321e-06
"Dhrs3",3.41541437404116,2.3658413121534e-20,1.62675248623667e-16
"Dlc1",1.16126324585996,2.58988278345682e-11,3.3390063785717e-08
"Dlgap4",0.878459155119932,5.59402195228683e-07,0.000146317292459075
"Dock10",1.19855668533173,8.68861337251585e-13,1.49357263873548e-09
"Eepd1",1.08930753238833,4.22467902386344e-05,0.00427933814218975
"Enah",1.15322698544696,9.82863997226728e-13,1.55957834883023e-09
"Enox2",1.14784215838476,6.00701506585252e-07,0.000149292417805308
"Epha10",0.696860042744624,0.000128265956717444,0.00925129424883716
"Eps15",1.02275589171322,3.01106305441878e-05,0.0033393660584167
"Evi5",0.702209821630246,3.22004132143876e-05,0.00351444509939888
"Fam155a",0.63192138141775,6.45643858798325e-05,0.00576700533489893
"Fam163a",2.76866281026965,8.13853628461764e-05,0.00668181181145252
"Fam50a",1.16511261503684,0.000106063788993403,0.00807337210094431
"Flt3",1.68545028469733,1.42670815671135e-07,4.67145013597488e-05
"Fras1",1.50649963005497,5.67451202090654e-07,0.000146317292459075
"Frmpd1",2.33470980185965,9.57184394699834e-10,8.58469551907312e-07
"Gabbr2",0.770181093549364,7.30315442587402e-06,0.00107606763926378
"Galnt18",0.936905990599978,6.55764222467962e-06,0.00100948540157232
"Gas7",2.18068563105324,6.31016554402424e-25,6.5083047421066e-21
"Glp2r",1.50893782115253,2.98997913758219e-06,0.000518296551681054
"Gm14092",1.84517405839664,0.000141711782115471,0.00990925641178961
"Gm20559",3.78591120520058,1.04051230889489e-06,0.00022358008237379
"Gm2164",2.20437516868469,9.51710760391046e-06,0.00129547307202348
"Gm34299",2.10971847838166,2.94130225419208e-06,0.00051417951609724
"Gm42303",0.912665731819297,2.10950206583268e-06,0.000392025302828798
"Gm45680",2.39642303532986,2.01216476825764e-09,1.66027739358474e-06
"Gm9750",1.75743235550719,5.31476396264971e-05,0.0051230350944644
"Gm9925",2.27259102187615,5.93447949944232e-05,0.00556438377793164
"Gpr88",1.31666519886403,8.7581683301862e-05,0.00705716782480785
"Hcrtr1",2.85159378885524,0.000104915358762494,0.00801553340945457
"Hs3st2",1.97670100489793,1.28250270561638e-15,4.4092443019091e-12
"Hs3st4",1.56396211817929,1.59472901854271e-05,0.00199370122390903
"Ifitm10",1.13498862810614,0.000125174708359243,0.00906001362819113
"Igsf21",1.73430288710662,6.44215428249492e-13,1.20807962308459e-09
"Igsf3",1.82357206972358,7.14979283548685e-06,0.00106104983172966
"Il20ra",2.49017837194005,6.71686488480556e-06,0.0010188474074756
"Itga8",0.871018014964005,2.27392280957632e-05,0.00269577469631841
"Itpr1",0.922000588695365,1.24554445005705e-06,0.00025554151655972
"Kcnb2",1.04406845832902,1.50510638775349e-10,1.7248519203655e-07
"Kcng3",3.38904714257055,1.09772447586032e-16,4.52877209760934e-13
"Kcnh1",1.08726912689929,1.46106836490888e-07,4.70920597364692e-05
"Kcns3",1.86840444447977,6.51402095710418e-05,0.00576700533489893
"Klf7",0.652142640790835,0.000114121046930144,0.00846794588516193
"Klhl5",1.29611072897738,6.08313754778673e-09,3.58522746673556e-06
