"","avg_logFC","p_val","p_val_adj"
"A930009A15Rik",0.962104794617819,4.20149177906244e-06,0.00143606989008354
"Adcy7",2.55022723658522,1.41548181848987e-09,3.78416192411155e-06
"Adcy8",0.778757551786922,1.39906405936968e-06,0.000675717526239484
"Adra1b",1.89684064429647,5.37873565499466e-07,0.000354508768916986
"Amotl1",0.909787535120461,4.07650203362139e-05,0.00702074772720669
"Aox3",1.42913726634785,2.20498648666899e-07,0.000198568772819311
"Arhgap15",0.907600068768764,7.32698964296392e-05,0.00960037931363736
"Arpp21",0.987663231248003,4.39505691550737e-05,0.00730827286277066
"Asap1",0.712225924483204,3.6874034737373e-06,0.00130036576152415
"Astn2",0.8679759085406,2.26189463806207e-06,0.000948160625921225
"B3galt1",0.626133737717956,2.62752598462275e-05,0.00507615172177075
"Cacna2d1",1.27548780379764,2.3238007351587e-07,0.000198568772819311
"Ccser1",0.610461988622423,2.38083892207177e-05,0.0046845675260058
"Cep112",0.811617519362249,1.72355841350089e-05,0.00379131656165834
"Cep112it",1.47647011669852,2.74072386457508e-05,0.00516022560163258
"Cntnap5b",0.904727090394419,9.10047730597433e-07,0.000518423857197005
"Cntnap5c",0.797447175598431,4.68856458139611e-05,0.00733562248625896
"Col25a1",1.52036378733861,1.81621317042817e-08,2.88220057195733e-05
"Csmd2",0.957368100858013,1.77827312088815e-06,0.000828214914939627
"Dach2",0.926168198192836,7.66965727584734e-06,0.002242062838125
"Dmd",0.655173812301073,9.87545578203858e-07,0.000522388097879884
"Dpf3",0.775214234662742,1.08126975423317e-05,0.00282618472115275
"Dscam",0.744993048731094,6.46927739646803e-05,0.00877707820767484
"Egr4",1.63265228153216,4.63790384873081e-05,0.00733562248625896
"Enox1",0.69027091777342,1.78936471697808e-06,0.000828214914939627
"Epha7",0.957046113030941,4.27991150419786e-06,0.00143864552339092
"Exph5",2.18726743426395,1.63227027155319e-05,0.00370042332888748
"Fnip2",0.677166159221362,7.11035908404168e-05,0.00945933220180563
"Fstl5",1.6043993920695,9.84679896885834e-07,0.000522388097879884
"Galnt13",0.713406801847232,5.61823544555948e-05,0.00805292496090291
"Galnt17",0.897021899691553,1.53294582153324e-09,3.78416192411155e-06
"Gask1b",3.07010935734638,2.12521749107661e-05,0.00433173917424304
"Ghr",1.50533360260077,3.52821699950758e-11,1.45845353530387e-07
"Gm15397",1.27007281480834,3.25811646595388e-09,7.23855735240973e-06
"Gm16070",1.15053935653857,2.72774716584742e-05,0.00516022560163258
"Gm17066",1.31771501004163,2.38266251266443e-05,0.0046845675260058
"Gm29865",2.41534823148714,1.31320841131803e-08,2.5623683210394e-05
"Gm32442",1.29989085668064,3.0032077103891e-05,0.0056069130841777
"Gng12",1.31209493509907,1.7039384361898e-05,0.00379131656165834
"Grm1",0.762565859512201,1.03127973913882e-05,0.00272761213862466
"Gzf1",0.80326439619405,4.49202304724852e-05,0.00730827286277066
"Hip1",0.930785214679317,1.15377892898656e-06,0.000596128057332426
"Hs3st2",1.36048370361225,3.51391854282353e-06,0.00125917303654694
"Hs3st4",1.98355813947397,3.21163840000636e-06,0.00120937237852443
"Il1rap",1.28913602522924,5.42525910031846e-07,0.000354508768916986
"Ipmk",0.820555706445193,3.18908340750906e-05,0.0058555261210437
"Itga9",1.74372329120952,1.84745324705355e-12,4.10448687897888e-08
"Jdp2",0.895375162790724,6.19730490433166e-05,0.00855189584220723
"Kcnd2",0.67153236424547,3.67345964335477e-05,0.0064772422933661
"Kcnip1",0.917038908645148,1.4247934974614e-11,1.05515457110333e-07
"Kcnj3",0.943592094939117,2.56213205720519e-05,0.0049932357820112
"Klhl29",1.02765809518362,4.47277780404125e-05,0.00730827286277066
"Lgr5",0.896469428163057,2.27110125628388e-07,0.000198568772819311
"Lhx8",2.21020391188096,3.93875015160609e-11,1.45845353530387e-07
"Lingo2",1.54634711012435,5.18159324626866e-08,6.39552539735282e-05
"Lrfn2",0.980050957566293,1.17007290446146e-05,0.00293344725357369
"Lrp1b",1.1764532012981,3.17739918806578e-06,0.00120937237852443
"Lrrc38",1.62341296358504,2.06582002551545e-05,0.00428937602868006
"Mael",4.25899426573115,9.09178977512107e-06,0.00252490366792331
"Maml3",1.02060222594362,5.62709249573998e-06,0.00178595877111222
"Mettl11b",2.35283297862496,1.2015290096557e-05,0.00293344725357369
"Mir670hg",0.817037585277385,5.92023018492009e-05,0.00832466797584617
"Mkx",1.03063771205271,2.05545045281092e-05,0.00428937602868006
"Mpzl1",0.772428313928883,1.44904913702958e-05,0.0033887920713038
"Ncam2",0.921077095898466,5.34993382154126e-05,0.00776859344530602
"Necab2",1.18483964760105,1.3623093620999e-07,0.000137574668626243
"Nrgn",1.78683767224,6.74682796981233e-12,7.49471385026603e-08
"Osbpl3",0.757203639091687,1.7885500425054e-05,0.0038957074798375
"Oxr1",0.683450661163616,4.21294206449236e-07,0.000312508274514785
"Pcdh15",0.930293306555454,1.49415379692099e-07,0.000144328760461712
"Pdlim5",1.90886437142607,1.47868627605176e-05,0.00342208052031687
"Pkp4",0.760305036697618,3.96935523401127e-05,0.00688962228390847
"Plcb4",0.624984376883604,7.74072477442163e-05,0.00999858618100729
"Plcxd3",1.15894543650505,2.74211745970822e-11,1.45845353530387e-07
"Pmepa1",1.36092218653227,5.67394315960419e-05,0.00808064071646963
"Prkg1",1.23153630434524,5.01260831336649e-07,0.000348015996556448
"Prune2",0.957429374573248,5.11594731826275e-06,0.00167148531720358
"Qrfprl",1.53889642429707,4.65549550185445e-05,0.00733562248625896
"Rhbdd1",1.02328159895097,1.1689070474964e-05,0.00293344725357369
"Sdk1",1.04571235453846,6.63191941151224e-05,0.00887598515455226
"Slc1a3",1.00566555928388,5.80431797141472e-06,0.00181626101930874
"Slc2a13",0.668785802699214,4.7336499708839e-05,0.00735437072749145
"Slc9a9",0.702012787123339,3.36483585964672e-07,0.000276876141828782
"Sphkap",1.39783944855582,7.29843345440787e-06,0.00216199061408773
"Srgap1",1.14117030669659,2.6927562120651e-08,3.98833098423003e-05
"Susd4",0.659100527754323,5.8471819584671e-05,0.00827432111918877
"Tafa1",2.14686224261157,4.47760306030239e-05,0.00730827286277066
"Trpc6",1.03898877776716,6.62523390058547e-07,0.00042055091876945
"Trpm3",0.856401542357388,2.25371174221319e-05,0.00455188307061368
"Tshz3",1.22895770397611,2.31153955231045e-05,0.00462661930033164
"Tspan18",2.0871190206231,3.55260758709745e-05,0.00636518409375355
"Zbtb16",0.770672517022477,9.53512001465309e-06,0.002583436114214
"Zfp804a",1.23451090185147,5.00285126989365e-05,0.00761290045638542
"Zfpm2",0.934448803471495,3.07521669833751e-05,0.00569350744891371
"Zmat4",1.04371140128266,7.57679200085434e-10,2.40476554118544e-06
