"","avg_logFC","p_val","p_val_adj"
"Aox3",7.52640009750375,1.52481776517978e-08,2.26714116822499e-05
"Calb2",7.7017401741331,1.36818011017998e-08,2.26714116822499e-05
"Ccbe1",7.47050987275845,2.87463607791218e-07,0.000281426872027603
"Chrm3",4.33559294285663,3.02124070680949e-12,1.30142964686526e-08
"Col11a1",7.50290271062027,6.00266151532904e-11,1.84693319595938e-07
"Dusp6",4.21951727698632,1.05092048447861e-05,0.00707335168584382
"Gad1",4.88698651100575,1.26551453516304e-06,0.00104833277147468
"Gm15987",7.95288516314016,6.78162033137484e-09,1.32784126088319e-05
"Gm38505",6.41298553890351,1.48629744551887e-09,3.55687493128727e-06
"Igfn1",9.30141595930259,4.81675333542077e-09,1.03743233338293e-05
"Itga6",5.25617220540059,5.82777397199055e-08,7.84491223804577e-05
"Kcnmb2",2.70573712662106,1.50326629501765e-05,0.00899370818391394
"Meis2",4.56149274129588,1.54667765838994e-13,8.32808585160063e-10
"Nxph1",3.64497766293161,1.01505945410106e-07,0.000121457502902381
"Pbx3",2.96523773130901,7.57148826990672e-06,0.00526047465668551
"Pde1c",3.52609022859976,3.3828329925912e-06,0.00260212346408676
"Plpp4",6.56799807322741,7.55031797102978e-10,2.03273435575049e-06
"Ppp1r1b",4.58959411310083,9.61588433297757e-08,0.000121457502902381
"Ptprm",5.06609304804401,4.65821101492106e-11,1.67214248065616e-07
"Rxfp1",8.12588311106806,6.20393111037873e-17,4.45400894184457e-13
"Satb2",7.54383328260732,3.94419018984177e-17,4.2474984154406e-13
"Sdk1",2.8484200221372,5.39602332647442e-06,0.00400757070364159
"Sox2ot",5.8851334422091,2.799515903173e-19,6.029597352254e-15
"Sox5os4",5.00843000805985,1.59907861970235e-07,0.000172204776555746
"Sp8",8.99803991449943,2.13860500039911e-07,0.000219339402374267
"Zfp804b",3.48609529809899,1.28986107489752e-07,0.000146215935953384
