"","avg_logFC","p_val","p_val_adj"
"1700021F05Rik",0.760655204228551,9.56313914412232e-05,0.00278554641802957
"2310033P09Rik",0.772071281475417,4.24149830895618e-05,0.00153954570198769
"4930447C04Rik",0.629611134168538,9.44764866067432e-05,0.00276220032163954
"4930452B06Rik",0.940816716845568,0.0003573433562129,0.00722326466937939
"4930519K11Rik",1.52003414895683,0.000131608162871721,0.00356757017689726
"4930594M22Rik",1.53108890189518,3.56858244652096e-12,2.98843290021512e-09
"9230009I02Rik",2.6939666020961,0.000462494738880246,0.00879943934109145
"9630014M24Rik",1.19044553540242,3.92624810431304e-09,1.10495250225064e-06
"A530058N18Rik",1.6136705193665,2.29561456432646e-05,0.000951017143185985
"Aarsd1",0.740420631655576,3.26770926063893e-06,0.000210497930613905
"Abcb9",0.803783364753438,1.77780273162501e-06,0.000133181848086719
"Abcf1",0.655945952915996,6.57594142300272e-06,0.000369933528565954
"Abhd3",0.952947120783736,2.29324723566511e-06,0.00016233755725244
"Acot13",0.615196595379114,7.17415691440761e-05,0.00225184666012299
"Actb",1.48437414769598,5.32103767867441e-07,5.11342997908023e-05
"Acvr1",0.7193832004512,8.32447805527578e-05,0.00250567858074591
"Acvrl1",2.73714994087099,1.90180784600434e-06,0.000140467780492942
"Adamtsl5",3.45591678488228,4.74715281878124e-07,4.7165779362196e-05
"Adora1",1.12951984190308,0.0002897193543398,0.00617622866902176
"Agbl1",1.06613216988554,1.88771339338692e-07,2.22280549139211e-05
"Agtr1a",3.30128837962935,9.52661711162898e-05,0.00278167834386164
"AI593442",1.19389875881099,0.000276997294238663,0.0059696990398053
"Akap9",0.753339152513819,1.71350160021733e-08,3.29329389523737e-06
"Akirin2",0.887401653994722,1.0985993760954e-09,3.89506042651203e-07
"Akt2",0.68881480542379,0.000126329046509677,0.00346857550650926
"Alkbh2",1.25307531155264,0.000264939709738146,0.00575746646333646
"Ankrd29",0.798572193456382,0.000411572964299457,0.00800212509692676
"Ankrd40",0.774113879406329,3.00407720339154e-06,0.000196210591267758
"Ano4",1.24550851861992,3.0965846574617e-19,1.21014528413603e-15
"Antxr1",1.03268941523731,2.74154302189528e-05,0.00108927480088899
"Anxa5",1.54977779995589,0.000118207905551908,0.00328740868429062
"Aox4",2.0490188619931,0.000257258781843613,0.00565342447672825
"Ap1ar",0.685705511127206,5.68085654059093e-05,0.00189450834280336
"Apbb2",0.799903068550042,5.71729270834883e-07,5.38389877210295e-05
"Arap2",1.36419195563242,0.000124399361257946,0.00343570815403572
"Areg",4.87988395792437,7.5640697958248e-09,1.79153847042929e-06
"Arhgdib",1.6917416184878,3.36267985484601e-05,0.00127379833984538
"Arpc2",0.695280561510378,6.48767178139346e-06,0.000366561272120756
"Arpc3",0.854060396734609,0.000222038538166295,0.00510427415972872
"Arpc5l",0.799727495415762,0.000217901930756034,0.00503279965998969
"Arpp19",0.805985705349133,0.000307920329915157,0.00648125304833985
"Asap1",1.08788851725629,0.000372489935772847,0.00743964566780384
"Atp2b1",1.01437588369654,0.000502530882455578,0.00935186042207809
"Atp2b2",0.645431854482421,0.00015158043550084,0.00394041912596861
"Atp5c1",0.757431435404349,0.000396181916279584,0.00778681774763092
"Atp5d",1.03226883668838,0.000279691885948795,0.00602223631012612
"Atp5f1",0.925349740205995,4.34328838177753e-05,0.0015667911688603
"Atp5h",0.961757571662916,6.15131395254211e-05,0.00201165982648825
"Atp5j2",0.758756970849107,0.000234725352169392,0.00531258692825088
"Atp5l",0.766406405546848,4.04385542235611e-05,0.00148032277904547
"Atp6v1d",0.762771931796809,0.000470331561726434,0.00889381811238825
"Avpi1",1.43037340087146,3.59787583709637e-07,3.7830938398312e-05
"B3gnt2",1.40229356475467,1.15328896398937e-13,1.50235109042349e-10
"B4galnt3",2.02964271521332,3.42118315270653e-07,3.62985984455487e-05
"Bag5",1.40990787638727,1.2825711828616e-07,1.68953534245723e-05
"Bank1",2.13351213539025,6.1874517491162e-05,0.0020178493548439
"Barx2",2.20156659788919,2.7778109940123e-05,0.00109838300484992
"BC005624",0.630736569612003,0.00020801300245887,0.0048744154706632
"Bcar3",1.28306978058624,1.42944315096914e-06,0.000110619085821532
"Bcl11b",0.798462716409979,1.3112453061584e-05,0.000629121322712313
"Bcl2",1.15861273425146,0.000195171465540834,0.00466977604489947
"Bend4",1.08113365577949,3.71399466850684e-05,0.00137576219568955
"Bloc1s6",1.17359798192166,5.68804961332976e-05,0.00189450834280336
"Bmp7",2.83344850222008,4.9720888538614e-06,0.000292928491068699
"Bnip3",1.08401589047336,2.24946466437955e-06,0.000159834689243551
"Brinp1",1.17242372475249,2.79126541399689e-05,0.0010999931332336
"Bzw1",0.828747738783269,6.23537824661915e-05,0.00202502976629814
"C030004G16Rik",1.77031128021234,0.000529411923683815,0.00971334177350398
"C030047K22Rik",0.952651944578157,0.000378375312158243,0.00753153168037902
"C1ql1",1.57807931644124,0.000345842383881984,0.0070454493633925
"Cacna1a",0.700864765130998,3.79890271577654e-06,0.000236906039573213
"Cacnb2",1.27006137990407,4.50016847423577e-07,4.52546364350919e-05
"Cacybp",1.16824871177209,3.78330720183553e-07,3.92526492339112e-05
"Cadm2",0.833436996014857,0.000186141104734606,0.00453363593942015
"Calb1",1.46781629098318,7.86926649057696e-06,0.000428452557308202
"Camk4",0.649819566149972,3.25059996092922e-05,0.00124542594581484
"Cavin4",1.06518707720576,0.000202736985827677,0.00480664999361717
"Ccdc28b",0.846169613374893,0.00036374447707805,0.00731482032463646
"Ccnd2",1.73595712907349,4.5234866577012e-10,1.86081956403119e-07
"Ccr6",4.60713166893249,3.93172231427915e-07,4.06127862666156e-05
"Ccsap",0.681493001270899,3.33713470767304e-05,0.00127027815950515
"Cct6a",0.872678562056167,0.000182838956066846,0.00448396170033687
"Cd302",1.56479957176245,1.25029500490255e-14,1.95446115166367e-11
"Cd3eap",0.952223753057012,5.39186001826271e-05,0.0018349540451121
"Cd59a",2.44826824622687,1.2407858795062e-06,9.89590044308211e-05
"Cd59b",1.497900731287,5.38362322422172e-06,0.000315110150549287
"Cdh11",1.26436737934326,1.80669528098788e-05,0.000799309263181203
"Cdh22",0.669617560831606,4.61835571531544e-06,0.00027652823405378
"Cdh7",1.44186641490412,0.000143079013521364,0.00377805935703709
"Cdk5r2",1.16892176118624,0.000131227369060176,0.00356549171462689
"Cdv3",0.927189251670806,3.77526983332648e-07,3.92526492339112e-05
"Cend1",1.60311152691684,1.05306352938685e-05,0.000536787687762234
"Cenpj",1.251050197713,3.50174061647089e-09,1.01368906141987e-06
"Cfap99",1.34671234864277,3.90577242091179e-05,0.00144224490906362
"Chchd10",1.62343554047821,0.000133493006592187,0.00359373595703053
