"","avg_logFC","p_val","p_val_adj"
"1190005I06Rik",0.81755310725925,2.30957938517771e-07,2.20157747148235e-05
"1700030L20Rik",1.79830247837673,4.69407251606919e-05,0.00125535148186087
"1700037H04Rik",0.93666382881188,6.7475457440818e-05,0.00165614667527053
"1700057H15Rik",2.82669626868656,7.04487286694697e-15,5.18580919372485e-12
"1700092K14Rik",0.896157099836254,0.000673024105739411,0.00872133926752781
"1700095A13Rik",2.99706073427549,0.000768453186345168,0.00954550220633796
"1700120G11Rik",2.96789773823203,4.28980821540921e-19,6.68705398284377e-16
"2310033P09Rik",0.740931891436274,5.86315117169061e-06,0.000282252447497455
"2510009E07Rik",0.969526064079806,4.4460048558389e-06,0.000229037792831309
"2810404M03Rik",0.887954695944347,1.93624651856878e-05,0.000678710750556518
"2900005J15Rik",0.707065417421818,0.000390086610252979,0.00603866448068818
"2900026A02Rik",0.662797076726145,3.95100967254088e-05,0.00111622341495025
"3110009E18Rik",0.756013369392699,0.000318701695140414,0.00524571113119315
"3222401L13Rik",1.53455131079324,2.61560791386762e-08,3.80844009436768e-06
"4930405H06Rik",1.24790978501566,0.000158532858403001,0.00313985108197273
"4930431P03Rik",1.83805920579996,6.349135774972e-05,0.0015739204680707
"4930486I03Rik",2.15461602524471,2.50747638348425e-06,0.000147009124252949
"4930500F04Rik",2.62408959450032,2.75152685932561e-07,2.5317868670878e-05
"4930500H12Rik",1.21366640047979,3.62099416015784e-05,0.00105912080843469
"4930549C15Rik",1.30802793243545,4.03389756716138e-05,0.00113359793774949
"4930593A02Rik",0.594913937735593,0.000154206895434812,0.00307948962247364
"4930598N05Rik",1.34753805391362,0.000133422261065833,0.00277526681180893
"4933407E24Rik",2.10413242685283,1.46652472680438e-06,9.88877996445702e-05
"4933412E12Rik",1.4044749486107,4.70727547003924e-16,4.158093331868e-13
"5730409E04Rik",0.724313867390883,0.000233488579832794,0.00423797764765003
"5830416I19Rik",1.54212016640662,0.000650547116314317,0.00848400520783927
"6530403H02Rik",1.1478632366713,8.80966595479478e-08,1.03758287912027e-05
"9530059O14Rik",1.0395575158963,1.63922331426263e-05,0.000611822786309293
"A1cf",1.16303648216288,4.32164070855423e-05,0.00119214939886523
"A26c2",1.851963601789,1.84861710235446e-05,0.000662004773140447
"A330076C08Rik",1.30452692809462,0.000515896344358118,0.00733356076324597
"A430106G13Rik",0.719553796198222,3.78466891410869e-05,0.00109014919808566
"A830019L24Rik",2.21674079526306,1.920350609905e-08,2.99348771544014e-06
"A830092H15Rik",1.12704099919405,3.11278974115319e-05,0.000952528038574592
"A930033H14Rik",1.05822423871589,0.000189559385889065,0.00359579364785987
"AC135859.1",0.898296967244047,0.000758169655805876,0.00944947769273496
"AC142100.1",0.824996970332039,2.69846321722953e-05,0.000865729724655964
"Acadl",0.697791424358489,0.000426946396330789,0.00642408844812655
"Acat2",0.73630883036315,3.06765900652968e-05,0.000940836256694119
"Ace",2.92774964507288,1.73556387840178e-11,6.66557141705031e-09
"Actb",1.45098120233341,8.31432754925283e-05,0.00193888784836304
"Adamts2",0.862266656226305,0.000537388076190274,0.007530821797484
"Adamtsl5",2.50680502958315,9.38755588505337e-05,0.00211539312035641
"Afap1",0.799559421445347,0.0002373652000425,0.00429656953628842
"Aff3",1.21361545967656,2.66042541637964e-05,0.000856511343381696
"Agbl1",0.964160018353749,0.000651990573081517,0.00849446911831869
"Agtr1a",2.28807072872908,0.000255464229280179,0.00449471081504809
"AI197445",1.96589864825621,1.54369876455078e-08,2.509694310466e-06
"Aim2",0.586384396019806,0.000579701876381122,0.0078992977629089
"Akap9",1.27874101940219,5.77592573476810e-09,1.12545611743643e-06
"Akirin2",0.656090388081603,1.29026835986963e-05,0.000511857957133911
"Akt2",0.912525487633358,0.000514841025303926,0.00733193736779058
"Aldoc",0.758133470830437,0.000689158246756589,0.00886108371618128
"Anks1b",1.05330558130996,4.14123433747035e-08,5.59911785423287e-06
"Ano1",1.37473207729766,3.26693184686161e-07,2.89550248286314e-05
"Ano3",1.04232464232008,0.00026782788456243,0.00463884898098326
"Anp32e",0.723393577571399,0.000113319584177113,0.0024454144793921
"Anxa3",0.935258775799394,3.87912824550034e-05,0.00110534299468558
"Ap1ar",0.732608580226357,2.03498758547433e-05,0.000704930340066271
"Arhgap15",1.83649124237529,2.1796849617589e-06,0.000133760008887374
"Arhgap19",0.861573023591113,3.02134733142512e-05,0.000930996561427509
"Arhgap31",0.905194427907341,1.90253556130258e-05,0.000674026636022975
"Arhgdib",1.11370886563816,2.83411511226811e-07,2.59875607180294e-05
"Arid3c",2.06028451495119,2.81487360393584e-06,0.000160073284343991
"Arl6ip4",0.69948330568477,3.14406487973866e-05,0.000958776977135496
"Arntl",0.890688990058757,4.27648400050941e-07,3.67944240303569e-05
"Arpc2",0.607723198585573,0.000225605082150694,0.00412028578703886
"Arpc3",0.7289113563873,0.000316569412117229,0.005230060195536
"Arpc5l",0.871545828624462,1.02175013506766e-05,0.000431840168728756
"Art3",1.40392407074329,1.63053645916312e-05,0.000609438874017245
"Asap1",0.835324997814312,0.000139052141619977,0.00286984560196993
"Asb2",2.18329896790483,2.96811147701283e-05,0.000921793555120362
"Atf6",1.02180844816208,3.58904223551802e-06,0.000193312234230137
"B230206L02Rik",1.10124532258374,4.18921819363322e-06,0.000218234479227808
"B230216N24Rik",0.826719125317791,0.000105417797035553,0.00233186278918377
"B3galt5",1.1473917180378,1.91799029703815e-05,0.000674989945172787
"Bank1",2.58579848556048,1.01324585444715e-26,3.83585930612134e-23
"Batf3",1.97855912521493,8.20366167969564e-15,5.87559552734958e-12
"BC051142",0.962714970038658,0.000356668101993158,0.00568534815538782
"Bcl11b",0.979919288240704,0.000443838946376872,0.00661142893703604
"Bcl2",1.15239907062339,9.12220169753163e-08,1.05734793397231e-05
"Bend4",0.898527997267994,8.35846924766633e-07,6.25704618822479e-05
"Birc3",1.42815796965297,0.00025266580521221,0.0044638008543086
"Bzw1",0.810623985537335,0.00053312430161004,0.00749485092449129
"C030004G16Rik",1.73704986689899,3.67301843619096e-11,1.33335600765836e-08
"C030007H22Rik",1.20521259193502,3.1284871481591e-06,0.000173079142852226
"C230012O17Rik",0.938501439938429,0.000445193078625293,0.00662465020986055
"C79798",1.70602030551927,1.10000256298597e-08,1.94333786127521e-06
"Cacnb2",1.12920314408995,0.000214617977300929,0.00396413055829513
"Cacng2",0.915219565031544,0.000171680234150581,0.00333787689287629
"Cacng3",1.07608163996272,1.66979367660553e-11,6.5072841808892e-09
"Cacng4",0.827365169843342,1.2237556789119e-08,2.05250161336489e-06
"Cacybp",0.829502488466885,0.000625761309466622,0.00826241888433756
"Cadm3",0.628843129268897,4.63508288587723e-09,9.16639525938407e-07
"Calb1",1.26853866639206,3.847830547491e-12,1.82084838408056e-09
"Caln1",0.856190390006441,6.73624728678662e-08,8.58223812980026e-06
"Ccdc137",0.622940368506457,1.76417210019637e-05,0.000639542553422761
"Ccdc28b",0.894627422909812,0.000318627831104286,0.00524571113119315
"Ccdc60",1.13576263020476,3.24360675073638e-06,0.000178701827223522
"Ccdc85c",0.760353807015144,2.938714156777e-05,0.000917369854267675
"Ccnd2",1.16589920937017,2.72631002237781e-06,0.000157437148687297
"Ccr1",3.64500539870213,0.000450382393877492,0.00668634926484792
"Ccr5",1.6559131451637,3.09995413374418e-09,6.46840823182841e-07
"Ccser1",0.717318943033172,6.547951466237e-06,0.000304957317847593
"Cct3",0.586076548909515,0.000641354727311827,0.00839980576956191
"Cd302",1.62887359336416,0.000311139759420756,0.00517264970178798
"Cd72",2.01647253171074,1.81682227642913e-09,4.2358820080004e-07
"Cdc5l",0.677550950861633,0.000608359992521487,0.00813730787136412
"Cdh11",1.98623512974793,4.48272161612989e-06,0.000230217292301245
"Cdh12",1.64984244788057,0.000169893827946905,0.00332019649011281
"Cdk2ap1",0.760239462047193,6.78909869938726e-05,0.00166003237325799
"Cdr2",1.13067988135617,0.000140103603775976,0.00288480613835537
"Cdv3",0.809512945297494,4.66428577404093e-05,0.00125104830983891
"Cep126",0.988961907696126,2.25249455579983e-06,0.000136623647999169
"Cers1",0.611485653585262,3.26061929587286e-05,0.00097855505482028
"Cfap99",1.37085301705876,0.000143709612826001,0.00293550785559361
"Chgb",1.14994185867088,1.07247579112073e-05,0.00044686491296697
"Chmp2a",0.780803563739764,0.000445468027851236,0.00662465020986055
"Chrna7",1.18706321947968,7.23145759291208e-05,0.00173738555042765
"Chst11",0.987652802464507,6.87243417662744e-06,0.000314541460588303
"Clmp",0.850187088963317,1.00958179131133e-10,3.30295277404325e-08
"Cnnm2",1.16316761938162,1.17001073388162e-10,3.78113224973938e-08
"Cntn5",1.21701360060393,0.00037386729620131,0.00585894934910391
"Cntnap3",1.41271655554752,2.0969023110426e-06,0.00013058298698788
"Cobl",1.06133050107166,3.0530157190533e-09,6.46840823182841e-07
"Coch",1.75997019200487,0.000263994105891264,0.00459648081873751
"Colq",1.87597648603132,2.23489646330064e-05,0.000762223375514375
"Cpne5",0.88223080472767,8.61159216919041e-05,0.00198773874517084
"Cradd",0.647403700442896,3.03766110788551e-06,0.000170186087439674
"Crlf3",0.689051965370169,0.000299577426356003,0.00505334296526675
"Cry1",0.762395451966255,2.24354796739535e-05,0.000764190503033122
"Ctnna1",1.10025910601639,9.96507621291083e-15,6.94932946426676e-12
"Cttnbp2",0.878539972725252,9.49982274403435e-06,0.000410677492197244
"Cxcl5",2.2310913827743,1.86454000246112e-06,0.000119060988108963
"D430041D05Rik",1.14239313135551,1.0602343779896e-06,7.5731026999257e-05
"Dbi",1.20151036000635,1.5712109882557e-07,1.6014265841837e-05
"Dbpht2",0.780594507255664,0.000425342329070584,0.00641523717721712
"Dctn3",1.23384248943416,1.88883137221801e-05,0.000670067354267433
"Ddx24",0.657113476360986,0.000126626578533561,0.00266370247159011
"Ddx41",0.889301809985567,2.46723155987018e-07,2.31030517090317e-05
"Ddx43",0.924455576556671,0.000364208872654743,0.00575180877553676
"Decr1",1.61361961527676,1.4452015051128e-07,1.48441239866237e-05
"Dgkb",1.15826656004637,2.76842804723695e-06,0.000159045578718525
"Dhrs3",1.9651533638459,1.007281708547e-18,1.48294251536085e-15
"Dhx58os",1.15879994544695,9.83996462839332e-08,1.1096130325635e-05
"Diras2",0.705355231778725,0.000286068109644445,0.00488453924328466
"Dlgap3",0.876685150042141,0.000658047215785089,0.00855655113753918
"Dlx4",2.48559426558941,7.20818912549551e-05,0.00173494107016922
"Dlx4os",2.6706677263769,7.72132170824915e-05,0.00183346796835665
"Dnaja1",0.950463088919578,0.000484952921343271,0.0070263818565318
"Dnajb12",0.586075499722141,4.35053659348099e-05,0.00119605113778093
"Dnajc12",0.592317766034925,0.000602567256647264,0.00809737946305907
"Dnajc2",0.9488508598069,2.03878511476963e-06,0.000127725308608499
"Dnajc8",0.766883538794935,5.43765589220751e-07,4.48903056521803e-05
"Dnttip2",0.615992989553328,0.000198531237031378,0.0037107049552829
"Dock11",0.8632118687213,2.33111047100411e-07,2.21413718572075e-05
"Dock4",0.844412534151711,5.91792186873668e-08,7.61286065638457e-06
"Dusp14",1.47781093494544,9.78935500540155e-08,1.1086235369365e-05
"Dusp3",1.53354768109353,5.2307938445562e-08,6.93080184403697e-06
"Dzip1l",0.629394290081585,2.53025868876655e-05,0.000837101813387187
"E130008D07Rik",0.853533489060402,0.000133735857016811,0.0027796080085847
"E130311K13Rik",0.692535892533295,0.000621000583243347,0.00821977787223194
"Ece1",0.593111893334493,5.04848660562497e-05,0.0013311929855628
"Eepd1",0.637188503940295,4.61766616606097e-05,0.00123979891996571
"Egr1",1.58100075907815,2.41815200139386e-05,0.000809130117601643
"Egr4",1.31026238692064,0.000328473432884141,0.00535005898674231
"Eif3c",0.754191784084783,0.000418917980150873,0.00633999227527021
"Elmod1",0.676694293946955,0.000815590491027349,0.00990556335931048
"Elovl2",0.993477994404707,3.93886755323099e-08,5.46492095081786e-06
"Eml1",1.03549035432892,4.48151740508877e-05,0.00121930401678493
"Emx2os",2.2144998562408,1.70715436567478e-06,0.000111979184877182
"Ercc5",0.598382740890437,0.000183469910824475,0.00351297155841662
"Etnk1",0.599351102889816,0.000311111925790232,0.00517264970178798
"Etv1",0.959812112982529,4.0902228957912e-11,1.44521208984623e-08
"Etv6",1.09377427373916,4.95465537101045e-05,0.00130905650380635
"Exoc6",0.596044415280269,6.15273548037816e-05,0.00154401032414793
"Fabp4",2.88746224295038,4.31411894079781e-08,5.77394706722939e-06
"Fam163a",2.6773987689765,3.07416630205195e-06,0.000171145813034405
"Fam171a1",0.592851253223761,0.000228321653044787,0.00416415953591663
"Fam174a",0.80741192889383,0.000196559507548777,0.00368375314713055
"Fam241a",1.68547914131314,7.47082598982986e-05,0.00178357557414857
"Fam78b",0.670430201628037,9.9714722686543e-05,0.00222802710893203
"Fbln5",2.42361516720227,0.000170170826659546,0.00332315910573173
"Fbxl21",0.749480242215748,8.56456029949669e-05,0.00198219081167391
"Fcrla",1.80838929371579,9.92960245594238e-08,1.11035269361732e-05
"Fcrlb",2.13470781080312,9.58447918378204e-08,1.09008025051598e-05
"Fem1c",0.61691812889036,0.000140280428183546,0.00288620446185091
"Fig4",0.988227606697522,5.28146127228448e-14,3.25485403989625e-11
"Fkbp3",0.973866198985394,0.00073021018183133,0.00921455705644298
"Fmnl1",0.703075415835,0.000314591614032824,0.00521042360741865
"Foxo1",1.84986049049683,0.000252846619986498,0.0044638008543086
"Frmd3",0.79190083741337,2.71734414292707e-05,0.000868632325543634
"Fxyd3",2.68014585517697,0.000702624020018435,0.00897759716995589
"Gabrg3",0.886609599435949,1.97870602580196e-12,9.71031660810219e-10
"Galnt17",1.15349018390417,5.46861905533468e-17,5.57378480639881e-14
"Galntl6",0.991635066631961,8.62690495757672e-06,0.000379781916790505
"Galr1",1.54010303593586,8.57139745518968e-06,0.000378570054270877
"Garem1",1.60948771240415,1.91454929664442e-08,2.99348771544014e-06
"Gatad1",0.667598438363539,3.92924571683211e-05,0.00111244670401764
"Gca",0.747056761302159,5.43042276450552e-05,0.0014067077542463
"Gcnt2",1.65766367503579,1.15662594745815e-05,0.000470262766822993
"Gja5",1.02290020429918,3.74157963663557e-05,0.00108046301632841
"Gm10115",0.839142205108917,0.000579124418142835,0.0078992977629089
"Gm10271",1.50162056411357,1.35401497932391e-09,3.32235156963738e-07
"Gm10475",1.9039603391926,8.28464491090038e-05,0.00193888784836304
"Gm10706",3.49885913562796,3.37732562505801e-06,0.000183616263421442
"Gm10851",1.21755384763083,5.41033431538179e-05,0.00140287533618021
"Gm11110",1.30553286206075,7.90544613351353e-08,9.64797617038091e-06
"Gm11627",1.20803125798217,0.000320451736177888,0.00526022926500992
"Gm11651",3.00788880286288,1.28137925137194e-29,1.13188500537855e-25
"Gm12128",4.34961538623225,9.30618567898877e-22,2.24194473175639e-18
"Gm12130",4.93516111754136,2.04187251365521e-31,2.70548108059316e-27
"Gm12523",1.57371794002892,0.00048023542868527,0.00697710463824542
"Gm12841",0.755266083446178,0.000770123913854738,0.00954550220633796
"Gm12930",2.17321538355739,5.01278774699953e-18,6.32566072835655e-15
"Gm13052",0.705772396416946,0.000458915457574374,0.00676753457190924
"Gm13063",1.44639685968484,6.64012686129783e-06,0.000307628254937749
"Gm13211",1.06653234500551,9.47560376674658e-05,0.0021316086572053
"Gm13652",3.97742003835576,0.000109400171196134,0.00239002847213318
"Gm13703",0.961307006315084,0.000345000034666649,0.00552083388808345
"Gm14114",1.91327363377984,4.21601884396859e-10,1.20133870285126e-07
"Gm14205",1.21910707846183,0.000249481549463664,0.00444006787158301
"Gm15401",2.18083368617024,1.37077083692753e-06,9.3622234996339e-05
"Gm15402",2.09418298783307,2.81703088451095e-05,0.000888706171899288
"Gm15503",1.07378964858445,4.69474244581593e-07,3.96212340172363e-05
"Gm15810",1.00556240534117,0.000755170954465234,0.00942185983678375
"Gm15997",1.67357747359503,5.32842954478099e-08,6.99026648201466e-06
"Gm16069",1.52552980219809,9.58062526527766e-08,1.09008025051598e-05
"Gm16105",0.651461131509479,0.000445476478263076,0.00662465020986055
"Gm16110",2.28462084576816,7.50844806372754e-07,5.7506899910052e-05
"Gm16150",1.07484477606233,0.000418214597350121,0.00633548521476063
"Gm16151",1.20951159899567,0.000147543329899293,0.00297783567580447
"Gm16152",1.13436393329125,3.28355592674625e-05,0.000983211661681081
"Gm16325",1.55039737005753,9.70685507421326e-07,7.12287233375056e-05
"Gm17032",2.1110912821392,1.92475063280529e-06,0.000121732438590311
"Gm17033",2.79377500249963,5.33245161781625e-05,0.00138675140208175
"Gm17066",0.978459822050549,5.76760510039442e-05,0.00146963014577358
"Gm17146",1.12183063847904,1.34734784800657e-05,0.000527991654029173
"Gm19553",1.66322469534101,0.000119611608321425,0.00255096590958811
"Gm19585",1.12665463320526,0.000145941269688285,0.00295902344815575
"Gm19619",2.30212275066916,9.12547009813331e-08,1.05734793397231e-05
"Gm20098",1.15715423520057,0.000115770140287997,0.0024901856474285
"Gm20139",1.51324127726937,3.31342387957035e-05,0.000987691032717822
"Gm20429",2.31875551420899,0.000364528600610925,0.00575342937235825
"Gm20735",1.01186989636464,0.000393525453898322,0.00607009576734898
"Gm20939",1.22073740773956,0.000549251426632179,0.00764050540984397
"Gm2164",2.38476027727272,3.40641431940878e-08,4.8272716291087e-06
"Gm2447",1.42470427946003,0.000174846299461361,0.00338700799395181
"Gm26620",0.877505068218382,3.33446275715139e-05,0.000992845652410245
"Gm26916",1.28272198785452,1.28627339926298e-05,0.000511795439376827
"Gm26930",0.859271858078446,0.000211196399300224,0.00391926091138371
"Gm27010",1.46933559976768,0.000398338542346037,0.00611940369401159
"Gm2800",2.01623209977772,0.000125483898061814,0.00264755039700484
"Gm28140",1.41235086714579,2.36832722201581e-06,0.000141352863476169
"Gm28175",1.52103759788977,4.04192389203471e-06,0.000212521791942301
"Gm28289",1.05007820102895,0.000521674473638363,0.00738876191951717
"Gm28342",1.28404696964057,2.29651819817534e-06,0.000137687177039925
"Gm28493",1.4346566511284,0.000509426288555364,0.00726576783999847
"Gm28653",2.44313918534022,6.78179161882831e-08,8.59892238750958e-06
"Gm28826",0.869642873191832,0.000534448008665471,0.00750549667707206
"Gm28905",1.50342382623026,2.86192528353118e-05,0.000895407556240571
"Gm29055",1.31390776007632,1.38911886337562e-06,9.46314906926839e-05
"Gm29260",2.29657258413158,8.10744498740049e-10,2.04616468729631e-07
"Gm29507",1.75232802144391,0.000108124421741713,0.00237583680630503
"Gm29676",1.60312934438326,5.65642232525305e-08,7.38399958715299e-06
"Gm30173",1.40833845898082,7.4637684842023e-05,0.00178349742859658
"Gm30292",1.6537798712717,0.00029143982600989,0.00496027963343743
"Gm31108",1.45751354176457,1.64638839384848e-06,0.000108530578201454
"Gm31243",1.37277815398241,1.12553063115596e-07,1.2274305236886e-05
"Gm32592",2.05394305028017,0.000708777935116154,0.00903879464897887
"Gm32815",1.77682995028878,3.41584404386131e-05,0.00100914010214409
"Gm3294",1.27199843454499,3.81631147059247e-05,0.00109569072557639
"Gm33973",5.77347878311591,2.92643973816583e-28,1.29251088435657e-24
"Gm34068",4.74344761879308,7.89064662709257e-11,2.64686247617662e-08
"Gm34240",3.67070898613893,0.000327687428995424,0.00534382576515614
"Gm35394",1.42070885792998,1.72883956041516e-05,0.000632873072134151
"Gm36235",1.50834744587805,2.59617974141812e-05,0.000847822902828199
"Gm36372",2.82320182777782,0.000654851975360254,0.00852199858276956
"Gm36569",1.54393312879458,4.23811090276414e-05,0.00117725302854559
"Gm36903",0.949134885691309,6.63388028705915e-06,0.000307628254937749
"Gm3764",1.3174951260481,3.26700091462671e-07,2.89550248286314e-05
"Gm37854",1.74933954212168,2.56969133127875e-06,0.000149663341272279
"Gm38413",0.922851906110176,0.000290121232821283,0.00494418821206689
"Gm38575",2.32339114435829,0.000506284647747779,0.00724044423384573
"Gm39043",2.29091510042211,2.86183534290831e-05,0.000895407556240571
"Gm40663",1.52584682819944,4.760878184133e-05,0.00126924820804351
"Gm40923",1.53519491610398,3.71690989902539e-05,0.00108002316144926
"Gm4107",1.23537194702062,4.81105292207681e-07,4.04739372809637e-05
"Gm41230",1.99070813907994,1.65126600725915e-09,4.01454579746489e-07
"Gm42047",1.72760405127009,0.000779803975459839,0.00961519353068506
"Gm42161",2.20228329043031,2.48888347109421e-06,0.000146712396781059
"Gm42456",1.24814510021208,2.70527960115263e-07,2.51543541861561e-05
"Gm4258",0.707916978522557,1.3166994050776e-08,2.18078338965978e-06
"Gm42775",0.683838526823408,0.000448470410395737,0.00666543234744085
"Gm43061",0.79023702425948,1.58518891985707e-05,0.000597546321141001
"Gm43166",0.846805067297085,2.52640677863567e-05,0.000836872245423066
"Gm4356",0.764691228478873,3.58831140409864e-05,0.00105072101887971
"Gm44196",1.81917965905337,7.16538354503792e-05,0.00173092674515501
"Gm44593",1.81748107744621,0.000820593682297157,0.00995228035737971
"Gm44698",1.04431184898634,3.42031394220798e-05,0.00100933540610814
"Gm44737",1.06721338331785,0.000698167072236992,0.00893357190452936
"Gm44993",2.14837855941236,3.9259193034021e-05,0.00111244670401764
"Gm45037",1.94584210683944,8.39773902760568e-05,0.00195210600203114
"Gm45345",1.07711095097155,2.38183120668239e-06,0.000141839386465356
"Gm45591",1.22618535190406,6.61684259867154e-06,0.000307625138359291
"Gm45671",2.98352729116545,2.15396844681767e-21,4.11887650778193e-18
"Gm4598",1.59270776283114,0.00063981645503817,0.00839363171213441
"Gm46329",1.21191279965347,1.41137851108698e-05,0.000547606596541802
"Gm46419",1.31655296441796,0.000804662471428073,0.00981056761260962
"Gm47415",1.59996435993239,7.61483640967395e-06,0.000344945580951042
"Gm47591",0.830773739030236,1.64248492646145e-05,0.000612177926177616
"Gm47664",0.713486769842355,0.000139026267986803,0.00286984560196993
"Gm47767",1.35641962132634,2.62032207386598e-05,0.000852513033698797
"Gm47800",2.28709285375087,6.07568362644027e-09,1.16670736304831e-06
"Gm47917",1.13390181494184,9.07548719451408e-05,0.00206541230219858
"Gm48094",1.22584170332348,5.37250921983411e-10,1.48303639922504e-07
"Gm48279",1.88145591733177,0.000375990231815087,0.00587831335876095
"Gm48284",1.73706308273127,6.18961398208022e-05,0.00155029148369567
"Gm48294",1.48477654888223,9.9154775996086e-06,0.000423124245393926
"Gm48324",1.02311552947863,0.000775514082146354,0.00959091293987326
"Gm48584",2.43251106457866,0.000384422527292252,0.0059819124916293
"Gm48605",3.14622270160844,1.11465122817959e-05,0.000457063982721412
"Gm48648",1.8207134875322,1.06090839197803e-11,4.46255117260598e-09
"Gm48651",1.75642219430071,0.000307062829777587,0.00513709910928413
"Gm48695",2.16514084380691,9.2062265696832e-08,1.05991070743149e-05
"Gm48954",3.42226377708329,3.72913836677387e-05,0.00108046301632841
"Gm49046",2.74366272826941,2.1760102305263e-21,4.11887650778193e-18
"Gm4926",1.6832321621405,1.0697249717626e-05,0.000446600588433014
"Gm49655",1.3820557933053,0.000223635790397955,0.00409844290839959
"Gm49766",3.31253940260091,7.84317405086024e-12,3.40728053029174e-09
"Gm49906",0.749810262724337,0.000133136721775643,0.00277150284921802
"Gm50370",2.63127192359157,7.49499899429374e-05,0.00178773603374243
"Gm50401",1.84024851110672,6.98788942292888e-06,0.000319274258116578
"Gm5083",1.71749188979347,0.000336475922628113,0.00543033614472898
"Gm5096",2.79593952260136,0.00033190297461674,0.00537617898981884
"Gm5432",1.67681156810258,1.2434056240617e-14,8.44878180452178e-12
"Gm765",1.8096716164766,4.36464882421371e-09,8.8292514382949e-07
"Gng5",0.935487150229708,7.09535127767702e-07,5.46589560635003e-05
