"","avg_logFC","p_val","p_val_adj"
"2900093K20Rik",-0.896143333694028,5.60919516888553e-05,0.0053024013919763
"4732419C18Rik",-1.89208253063448,0.000107323064834898,0.0082386736804104
"4930539E08Rik",-3.3386597690614,0.000112817928365549,0.00854183264198147
"5330413P13Rik",-3.55300989249222,3.59403385629871e-05,0.00412484501045975
"6430628N08Rik",-4.46579438522444,8.59862766659562e-05,0.00723841941280503
"6530403H02Rik",-2.20464784209837,1.87787959959934e-05,0.00270960490078379
"9330020H09Rik",-1.25350880994933,1.29077729436909e-05,0.0021398219146652
"9330154J02Rik",-2.5912407252345,6.26128218693906e-05,0.00571263170465908
"A230051N06Rik",-0.992402671326359,5.21488984355821e-05,0.00516124919478314
"A630012P03Rik",-1.49371056856844,2.12307561865076e-05,0.00287966256638812
"Abca12",-3.06863406583165,2.55040113005339e-05,0.00325067207350121
"Adam2",-2.32461017108283,2.11221080672193e-05,0.00287966256638812
"Ajap1",-0.874142046973275,7.61658169170427e-05,0.00670075787404348
"Apoa1",-1.65076307301669,1.92207718457777e-05,0.00271731473861104
"Arhgef28",-2.12378443499536,2.03518908572272e-07,0.000109830927596321
"Atp10a",-2.3898859329378,3.32381502939632e-05,0.0039348997359199
"Atp1a2",-1.44650244532476,4.03737490698705e-06,0.000890469366441909
"Atp6v1c2",-4.46294286733779,6.63273930756247e-07,0.000233656666384742
"AW551984",-2.60371292970132,7.28639206114101e-05,0.00648463327153616
"B130024G19Rik",-6.82938311228187,7.32671910788514e-05,0.00649772389693702
"Btg2",-2.03971610722306,1.61876912458643e-07,9.54847908744421e-05
"C030037F17Rik",-1.67503964695235,2.9808328194945e-05,0.00358321533808808
"C2cd4b",-2.47249495513268,5.05689723969505e-05,0.00506968939081522
"Cachd1",-1.91332787512054,1.6860926211183e-05,0.00252448396975872
"Camkv",-1.23086101359698,0.000131494078385031,0.00950203932808529
"Ccdc13",-1.76929243160976,8.79681566712853e-05,0.00729158276408654
"Ccdc3",-4.38301293084339,5.28193073323524e-05,0.00516124919478314
"Ccn1",-2.53434621754778,0.000127975714965729,0.0093007909294864
"Celf3",-0.931346267828715,0.000102174958127268,0.00794958784644183
"Cfap44",-3.15946938624736,2.96034573741621e-05,0.00357553377542022
"Chia1",-3.46349100869469,7.63491178677877e-05,0.00670075787404348
"Chil5",-3.57396412688442,5.97437773231923e-06,0.00121227293442036
"Chrna10",-4.78612339898457,2.24533580256028e-06,0.000575259568647867
"Clcn2",-1.07147389272574,9.53301744522242e-05,0.0076036306440447
"Cnih3",-2.18892756643666,1.70503793614432e-06,0.000462783612498986
