"","avg_logFC","p_val","p_val_adj"
"1700021F07Rik",3.01626206991038,1.0386633427342e-06,0.000333476671203926
"Acly",1.4841604707392,2.11398397117314e-09,2.82205733920187e-06
"Actb",1.10368915249617,0.000130126548202273,0.00943008505314987
"Actn2",1.03393116355257,8.61852492772086e-05,0.00723841941280503
"Adamtsl3",0.991525771918346,9.07506390687796e-05,0.00735635629066502
"Adcy7",1.11553339838416,2.39219114200779e-05,0.00317672964009872
"Agtr1a",3.25871536109286,2.4688525010281e-07,0.000130458280908493
"Ankk1",2.10229815368166,2.23844317594464e-05,0.00300401442934709
"Ankrd44",0.723563778482035,7.82289605571354e-05,0.0067655205400378
"Ano1",2.69423426390596,7.86966214491122e-09,9.50505288778705e-06
"Aox4",1.85924895022124,8.91364413233605e-05,0.00732824152990403
"Areg",4.13703063367171,1.83500964691229e-07,0.000103429299298408
"Arhgap20",0.858246638501256,7.78697471114145e-05,0.0067655205400378
"Asrgl1",0.72541308509384,4.49590281342104e-05,0.00483130566399474
"B3gnt2",1.13558385978658,3.15931912521435e-13,1.60265940583873e-09
"B4galnt3",1.672691652195,1.99266817065596e-07,0.000109830927596321
"Bag5",1.10002133440863,1.58826350700142e-05,0.00242679009587855
"Barx2",1.9933182529233,4.97263931266204e-07,0.000200200037343429
"Bcl2",0.744193491297695,7.68575144455741e-06,0.00145478656447578
"Brinp1",0.93737721206342,0.000106755051081558,0.00823019791985607
"Bves",2.20045452285541,3.80577568526762e-05,0.00430936136076464
"C530044C16Rik",2.31024110252346,9.60556999669436e-08,6.76765770544877e-05
"Cabp7",2.90582014954204,4.77863440673188e-07,0.000195492392084431
"Cacna1i",1.00037041448616,8.73593290278077e-05,0.0072887566495438
"Cacnb2",1.00336573671849,3.79344993931866e-07,0.000165891490104963
"Cadm2",0.75890974806835,1.20149303092207e-06,0.000367164689594065
"Ccr6",3.53297049782235,1.92838926411444e-05,0.00271731473861104
"Ccser1",0.743761969636323,6.65416182455737e-06,0.0013289461458116
"Cd302",1.11983167457549,3.6162999238029e-08,3.39717893582729e-05
"Cdh11",1.20290253491861,1.60871819227481e-06,0.000453372535876202
"Cep112",1.126037821056,1.32087661525424e-05,0.00216146544963281
"Cep112it",1.59821712298271,1.49211561529656e-07,9.42410560103879e-05
"Cfh",1.94460119134713,5.21427977581221e-07,0.000206648425365158
"Cftr",1.11594592443327,6.81721070030145e-05,0.00610144425472915
"Chat",1.79589614051419,1.18011507884332e-05,0.00199549592398546
"Cldn34c1",0.973216458303128,1.6608461086709e-07,9.57402288643833e-05
"Clspn",2.3893205722692,4.37446640126806e-06,0.000948324494032162
"Colq",2.31230958680862,5.88213276248613e-06,0.00120318076925563
"Cplx2",1.0270142469906,6.56035841172869e-07,0.000233656666384742
"Cpq",1.17254560794524,1.5304849958991e-05,0.00241113176621024
"Cryz",1.18201624904347,6.42124311609946e-07,0.000233656666384742
"Cxcl14",1.62016505434754,7.77033240773252e-07,0.000266333393499632
"Cyp39a1",1.49731877206165,5.04564116085494e-05,0.00506968939081522
"Dcc",0.885575550873714,1.71509460553953e-06,0.000462783612498986
"Deptor",1.03153982664816,4.7142662533212e-05,0.00486067679874955
"Dgkg",0.70805855644115,4.13289348273099e-05,0.00453795282666619
"Dhrs3",1.31138974916593,2.11142006097359e-05,0.00287966256638812
"Dlx4os",2.81075578018948,9.25514292483503e-08,6.76765770544877e-05
"Dmkn",2.48749135297959,2.60774827227465e-09,3.30714635889871e-06
"Dnajc2",0.833630550236378,2.93180085696451e-07,0.000138701014728128
"Drd2",2.6837424318698,9.93866754673884e-12,2.80093737394982e-08
"Egf",0.887390902096464,4.90457933512481e-05,0.0049959739058677
"Egfem1",1.33659184761472,6.89063349481243e-06,0.00136542209345643
"Egr1",1.13076717596283,4.64744749360252e-05,0.00485464814194157
"Egr4",1.16136093034081,9.96639816980886e-05,0.00787500695261782
"Esr1",1.41015036484601,1.25276627754091e-05,0.00210431548765216
"Fam167a",1.62224904203247,2.7790856986974e-05,0.00343847461764688
"Fam50a",0.750623784049078,6.42942760674761e-05,0.00582414292205523
"Fgf16",3.74703097079817,3.13533257701861e-06,0.000729583261316513
"Foxo6",1.36366353017955,5.30426746762603e-05,0.00516124919478314
"Foxo6os",2.42529721285702,2.90272715474851e-06,0.00070793049570232
"Foxp1",0.695614331014466,5.32009449082228e-05,0.00516124919478314
"Frem2",2.30488971431379,4.48450052156915e-11,1.1374487122908e-07
"Frmd4b",0.963847611730294,4.50856101530046e-06,0.000969111369424413
"Fstl5",0.955495831106319,8.02512305539091e-06,0.00148576073851777
"Galntl6",1.24678337631103,6.95603725271253e-10,1.10270580548625e-06
"Gask1b",1.80904800151681,4.12490920557693e-06,0.000901932733536667
"Gcnt2",1.28852012155562,1.17345210575477e-05,0.00199549592398546
"Glp1r",2.87581487108611,1.04415149212606e-05,0.00181396290727982
"Gm10308",1.4842231374703,0.000107514626565835,0.0082386736804104
"Gm10503",2.86802877444632,7.06894557861213e-06,0.00138989717562727
"Gm10706",2.94016307694241,0.000100467775017686,0.00791386535884656
"Gm12128",5.04927626898174,3.98156306467149e-20,1.00988365572328e-15
"Gm12130",4.17681930158179,1.82913323329987e-08,1.93973788340257e-05
"Gm12992",1.32992443149411,1.70196640446594e-05,0.00252448396975872
"Gm13026",2.55512865830625,4.08332605081734e-08,3.69891006974754e-05
"Gm13944",0.923796098525043,0.00011734002988757,0.00879752519347005
"Gm14114",2.21591349725157,4.55742505389629e-07,0.000192657548445043
"Gm15674",1.92020841816683,3.96866205630223e-05,0.00443335169360093
"Gm15675",2.14918846949302,5.58026523795135e-05,0.0053024013919763
"Gm15809",0.845311223891491,5.41860140988799e-06,0.00113439049198388
"Gm15867",1.35461139455014,1.97424151229485e-05,0.00276655589601363
"Gm16083",1.09693775466228,3.19633464513163e-07,0.000147403330798398
"Gm20429",3.74702089337406,2.59331746738444e-06,0.000641096221976944
"Gm20559",2.79870902590554,1.04076372744634e-10,2.26157005054602e-07
"Gm21119",2.2588471051938,2.58768279656143e-05,0.00328169932259921
"Gm28905",1.01333056422878,5.49467075168093e-05,0.00527904655097102
"Gm29374",1.80276568233286,7.96091766457282e-06,0.00148471114444283
