"","avg_logFC","p_val","p_val_adj"
"1700037H04Rik",1.11536792686106,1.16854973003168e-09,8.13310612102052e-07
"2310033P09Rik",0.779036148764927,1.19307992736377e-06,0.000245793554315774
"4833415N18Rik",1.89287775492179,4.55319423252739e-05,0.00389547700584868
"5730409E04Rik",0.599234748267846,1.13761606244506e-05,0.00133163131091296
"9130230N09Rik",1.49208092118556,6.71216364812269e-05,0.00516219561358343
"9930111J21Rik2",0.595501337128955,0.000123037831322025,0.00772797617610926
"A330008L17Rik",1.34062705064645,5.25279115895475e-05,0.00433557301042958
"Abracl",0.814778816015013,2.40263373930384e-06,0.000409752477182466
"Ace",2.01230334157178,1.75393922305473e-05,0.00182126785774619
"Acsm5",3.66119942227299,1.76875174153152e-25,1.51829649493066e-21
"Acvrl1",1.31570765193921,2.32925334076769e-05,0.00229884151099026
"AI593442",1.93306623739482,5.01317016584803e-06,0.000722168869321156
"Akap5",0.990697407656138,8.86074109692498e-09,4.47415303388259e-06
"Ankrd29",0.612567018579192,4.63276775533231e-06,0.0006817316299161
"Ankrd37",1.1023367913128,7.86737711371325e-05,0.00569103077057145
"Anks4b",3.38861929278536,4.80472747132116e-17,1.54664177301828e-13
"Ap1s1",0.600374159310265,0.000119118432722094,0.00754573261141957
"Arhgdib",0.723441686007231,1.20462948147989e-05,0.00137873859586978
"Arpc3",0.657881003679309,0.000139598375163152,0.00847862584245634
"Arpc5l",0.750143722245002,1.90800732212577e-06,0.000353489241434408
"Arpp19",0.908660283255113,6.24094147292971e-05,0.00492996088376951
"Arpp21",1.00037902676273,2.74074582041033e-15,5.0414061690862e-12
"Atp2b1",0.796925818145853,5.57365412090027e-08,1.93963163407329e-05
"Atp5g1",0.881677356266429,0.000154060634984103,0.00898634761682199
"Atp5g3",0.808360989484795,0.000127224026489399,0.00785677009629498
"Atp5l",0.788047920321828,2.39905339851063e-06,0.000409752477182466
"Atp5o",0.777842370880112,3.84053600192506e-05,0.00342219664780533
"Atp6v0c",0.586870644128253,0.000157632154028071,0.00908130476628833
"Atp6v1d",0.749194109467506,2.90737105026612e-06,0.000473864679028184
"Avpi1",1.21086876833829,9.77018576366305e-07,0.000207935391558554
"B3gnt2",1.04399099207789,9.85770591156437e-05,0.00666287775943847
"Bag5",0.807071790232106,1.95063155659529e-06,0.000358804741753156
"Bfsp2",0.745355217544455,9.17670746552725e-06,0.00115152925476746
"Btg3",0.609432740436118,3.40902639222321e-06,0.000541908936126742
"Cacybp",0.752584572803022,0.000111421476636783,0.0072881277749512
"Calb1",2.09833691273479,3.96185980315194e-24,2.55064534126922e-20
"Calm1",0.823551073629923,1.22627554660843e-06,0.000248653920285514
"Calm2",0.99107040957183,7.83909661451221e-09,4.03744832033837e-06
"Capn1",1.07274420874737,2.63283959610349e-05,0.00251114389921693
"Cbr3",0.798651457415538,2.44471922149952e-07,7.15413743091541e-05
"Ccnd2",0.866644719300935,4.11138062855294e-07,0.000112634333985633
"Cdc42ep3",0.904310875434468,6.230405883581e-07,0.000149518256115906
"Cemip2",1.11337757422096,1.55414656884522e-08,6.86962533444785e-06
"Cend1",1.22140368634354,1.08033003916436e-05,0.00128508437823343
"Cep126",0.599781403596157,1.46691955670662e-05,0.00161436377881662
"Cetn4",1.26296004273528,1.1789624027828e-07,3.61436188053128e-05
"Chchd10",1.45046049067696,3.03396286622876e-06,0.000491387495164295
"Chchd2",1.07664513668499,1.14985768866535e-05,0.00133987037097331
"Chgb",1.39975014211562,5.57875147490433e-17,1.59626675535263e-13
"Clspn",1.62860643827286,1.61888051192249e-12,2.45231829076636e-09
"Cnih2",0.913494462841592,3.85681230899541e-05,0.00342484933038792
"Cnr1",1.17123161265975,3.05667903081473e-09,1.91989264394002e-06
"Coch",1.59978844387976,1.77493560478423e-06,0.000331218418075388
"Colgalt2",0.66998849373529,1.29039424953061e-05,0.00145848641172757
"Cox14",0.742756833712618,6.18165933183767e-05,0.00490681260010617
"Cox5a",0.972050478931057,1.30172744937209e-06,0.00025786219443254
"Cox6b1",0.860987996699117,4.89320558325641e-05,0.00409494200017676
"Cox7a2",0.741205849099057,4.39618758239589e-05,0.00380220027924916
