"","avg_logFC","p_val","p_val_adj"
"AA388235",-1.41420601719994,6.21575129743384e-06,0.00101324325728907
"Aars",-0.759805447782157,9.86890658435487e-06,0.00142760091013806
"Aars2",-1.01901411299026,5.73776752264094e-05,0.00561372698823033
"Abca2",-0.648444865694792,9.64838223082312e-06,0.0014043160779048
"Ablim1",-1.74544133568088,1.34973775221242e-05,0.00178794755389981
"Adam2",-2.70850547566273,2.19570120542549e-09,1.36243259796652e-06
"Anxa10",-2.07900211523318,1.11203728270409e-06,0.000238481812145554
"Anxa4",-1.52671464060676,5.99394723511102e-05,0.00572191424520983
"Apoe",-1.19460789029931,8.67130654224208e-06,0.00129405529721219
"B930036N10Rik",-2.09459412455424,1.02134098709914e-05,0.0014507348876392
"C1ql3",-1.15043978530175,4.67685007519186e-05,0.00479458469230213
"Cd36",-4.89932238418756,7.38337337996801e-05,0.00659441518660097
"Cenpf",-1.87667082363646,2.26057465512597e-05,0.00269202473703107
"Clcn2",-0.905943937187754,9.00921516254441e-05,0.00758672443991552
"Clk4",-0.601330797685329,4.40835604895854e-06,0.000764298729988188
"Cpne6",-2.549329664161,0.000114434368588007,0.00920903746394751
"Cpne7",-4.20743944356078,4.1605827646199e-07,0.000104364235113801
"Crtc2",-0.920762081124121,4.00380158776028e-05,0.0042717483094027
"Dalrd3",-1.14225326946613,3.54297530874955e-05,0.00388244886607443
"Dcaf17",-0.926956288209645,7.21677653796714e-07,0.000163619590373776
"Edc4",-0.94611780653708,4.27306470590638e-05,0.00449797288841815
"Ermp1",-0.66007402842986,6.67272639722884e-06,0.00106750869956021
"Gdpd2",-5.30551602250399,2.0179263689891e-05,0.00251749660605259
"Gm29237",-1.35137443010229,3.13670645649262e-05,0.0035387751931885
"Gm45411",-1.71159345428572,4.67420566054801e-06,0.000803111037010075
"Gm45435",-0.698290137635323,6.64684202814274e-05,0.00617031055832982
"Gm47207",-5.5114991967172,4.63448578334858e-05,0.00477834053066053
"Gpr101",-3.45852337856611,8.80487200360352e-05,0.00744122139688055
"Gpr149",-2.79146610847522,1.26411856189255e-06,0.000266130817597004
"Gpr180",-0.777755401993635,6.44387943368818e-05,0.00602907588776939
"Hap1",-2.41516000865688,6.70050839878326e-06,0.00106750869956021
"Hist1h1c",-0.73205221854114,6.86454695769503e-05,0.00632262315294888
"Htr4",-2.69232184063922,3.98873341536584e-09,2.18721733025375e-06
"Itga10",-1.531833460044,2.21728380789738e-05,0.00266741504624552
"Kcnc2",-2.67613209159158,3.65284754535563e-06,0.000642764867701048
"Kcnj3",-1.64757635530364,8.33097217348029e-07,0.000187081897979516
"Krt12",-2.69280173509523,5.20188327439284e-07,0.000125158373190723
"Matn4",-1.17364709623986,2.90741205238096e-09,1.71384671957727e-06
"Mcam",-0.709725029523173,6.86106469663785e-06,0.00108204610235867
"Mdga1",-2.33496297778795,3.03937468509404e-06,0.000542919815907821
"Myo16",-1.29988925062679,9.71545028200245e-05,0.00803791586664336
"Nr2f1",-1.98108774801664,1.97834733467923e-05,0.00248124743640434
"Olfr889",-1.32336965060193,4.7003402649557e-06,0.000803111037010075
"Otof",-3.7300616702726,2.38365892023818e-07,6.3868515545791e-05
"Paxx",-0.673938113806321,6.1833628747939e-06,0.00101324325728907
"Pcdhga12",-0.895158425643766,2.76337827599431e-05,0.00316299496940145
"Pet100",-0.678157506907694,6.09513139782853e-06,0.00101209227626337
"Plce1",-2.69300016184803,7.25064557034972e-05,0.00650049322826145
"Plin4",-1.32452866893435,4.5598373505777e-05,0.00473640550173002
"Plxnb1",-0.880259482706658,2.59793350904708e-05,0.00300277814754025
"Prr16",-2.13425749685766,5.97250532877244e-05,0.00572191424520983
"Rasgrf2",-2.65267427379784,8.38639951226064e-06,0.00126021035642112
"Ring1",-1.03913337541593,8.32909195539108e-05,0.00711252972553635
"Samd14",-3.38833866765674,6.93573131823301e-05,0.00634913850819948
"Sbf1",-1.05296782968233,4.55986968084322e-07,0.000113175965478529
"Slc16a11",-2.51593358842325,1.35612572036278e-06,0.000280492003161702
"Slit2",-2.45928965062292,3.48145260587852e-08,1.26291032298476e-05
"Snhg3",-0.800691510592738,1.74913188444755e-05,0.00222933949748047
"Snhg8",-0.928166236717167,5.27580261864931e-05,0.00524886708629249
"Sulf1",-2.61222854122117,8.25546116136996e-09,3.97256160661107e-06
"Thsd4",-0.699541408212463,5.34460180063493e-05,0.00529497335534332
"Tmem132d",-0.712768120890368,6.04806957149376e-05,0.00575029969460691
"Vipr2",-3.8945952127787,8.67564872946444e-05,0.00735838566158425
"Vsnl1",-1.5716183547244,4.52726643848296e-05,0.00472338121030928
"Wdr72",-1.77253614014572,0.00010905134448377,0.00883615687829145
"Wfikkn2",-1.5219190657709,1.22431672810793e-06,0.000260073550739251
"Wfs1",-1.66227729577963,9.29366213958301e-06,0.00136959537243267
