"","avg_logFC","p_val","p_val_adj"
"1700037H04Rik",0.906621344492768,2.05641858269897e-05,0.0025386541236366
"2310033P09Rik",0.685039535768345,0.000113619168139664,0.00917474782727789
"4833415N18Rik",1.8191215825459,3.52932301136225e-07,8.9481620736463e-05
"8430426J06Rik",1.79783473867938,7.70262898171302e-05,0.00680225800598544
"Ace",2.42646511500562,2.09001471196946e-05,0.00256669046320457
"Acvr1c",1.77302158722782,5.2201874317623e-05,0.00521554234972556
"Adarb2",0.848366100421166,5.17786366012408e-06,0.000878337030518458
"AI593442",1.88587369606604,2.33794695416731e-07,6.33637370486333e-05
"Akap5",0.999081825378906,2.06137508659323e-09,1.31365305856167e-06
"Arhgdib",1.7217969892198,1.00547538399113e-08,4.55925078444748e-06
"Arpc2",0.701474478681557,1.33999242128097e-06,0.000279607799127292
"Arpc5l",0.667381983478081,1.79883580409482e-05,0.00228036287229849
"Arpp19",0.780007899582593,1.47680437652802e-06,0.000302796264296992
"Arpp21",1.25884243833752,8.85053101947822e-21,6.95622236360923e-17
"Arrdc4",1.55191053639474,5.89006205465986e-05,0.00571529930809979
"Asphd2",0.998169298378128,2.25647925916904e-05,0.00269202473703107
"Atp2b1",0.774441194077983,3.74832747241526e-10,3.15649333828855e-07
"Atp5c1",0.655388032788348,7.00104335269463e-05,0.00634913850819948
"Atp5g1",0.78677816929925,0.000117121808825026,0.00939324874246694
"Atp5g3",0.867745371432964,1.00764289140868e-05,0.00144873242295886
"Atp5l",0.72962702572633,4.14455180180518e-06,0.000723884347664921
"Atp5o",0.779168709010145,7.84209480540631e-05,0.00682320123308766
"Atp6v1d",0.654580953892526,3.18580613710498e-05,0.0035770534717523
"Avpi1",1.29832214401544,1.02966044290736e-05,0.00145379422654567
"B3gnt2",1.1090684002035,1.57944655941929e-05,0.00205755637704682
"Bag5",0.799696703574645,6.10066183344189e-07,0.000141026966049732
"Basp1",0.898954036446215,8.39106942440798e-06,0.00126021035642112
"Bcar3",1.42675550665033,7.0733511645051e-06,0.00110452017952229
"Bcl2",0.815479086680267,0.000104644721246683,0.00859727485113426
"Btg3",0.941502793326356,5.93345110533602e-05,0.00572191424520983
"Cacng4",0.934665471788027,1.31668109752139e-05,0.00175401263268118
"Calb1",2.03627944085333,3.21073441243057e-24,7.57059067107004e-20
"Calm1",0.771933850175166,1.17502355132302e-07,3.59816627488901e-05
"Calm2",0.948803214768793,3.18555564631577e-10,2.78193394757332e-07
"Cbr3",1.56209712095417,4.71672182383595e-10,3.83502013393889e-07
"Ccl27a",0.984774501574202,2.98307210118498e-05,0.00338162774393464
"Ccnd2",1.83303251417515,2.79764272278314e-13,5.4971348133753e-10
"Cd302",1.27269638085393,1.16434589462354e-07,3.59816627488901e-05
"Cdc42ep3",1.38359564964291,2.39627467677737e-05,0.00283676635096623
"Cdk5r2",1.03447147630168,0.000121450886073971,0.00964205536275476
"Cend1",1.0648132052427,1.2760416956717e-05,0.0017391784475285
"Cep126",0.777952892867905,1.39866734201634e-05,0.0018424121372851
"Cep19",0.84206464277993,9.59603952040217e-07,0.000211462631636975
"Cetn4",1.61563710889906,1.67928906144559e-07,4.88838972590439e-05
"Chchd10",1.46001511259061,1.48336009084857e-09,1.0598832600642e-06
"Chchd2",1.00749044398907,5.42340599468989e-06,0.0009069396450269
"Chgb",1.46599896316304,8.21661393918724e-13,1.38385385765783e-09
"Clspn",1.95414441545488,1.56961241038184e-10,1.48039564097573e-07
"Cnr1",0.906756020931168,4.76553143350435e-09,2.55378331069543e-06
"Coch",1.68853993478315,9.46505232877732e-07,0.000210543838547397
"Cox5a",1.05498211644712,5.10065043983927e-07,0.000123987872908217
"Cox6b1",0.830581953277684,6.99924468947329e-05,0.00634913850819948
"Cox7b",0.913806854910168,3.59961745654625e-08,1.26966909688647e-05
"Cplx2",1.02310692328372,1.22098376974777e-05,0.00169350448864016
"Crip2",0.947642824045603,9.66935688789072e-10,7.12480518936173e-07
"Cst6",1.31393496751938,3.34339306725289e-05,0.00370112042876788
"Ctxn1",0.969701114580044,1.56477295402612e-06,0.000318067081749844
