"","avg_logFC","p_val","p_val_adj"
"2810410L24Rik",-1.18685463899702,4.54521703963219e-06,0.00112150705332347
"4930419G24Rik",-1.16360209578805,9.87612337616551e-05,0.00961925753572401
"4930556N13Rik",-0.936064921832785,5.713674869769e-05,0.00644079075294214
"5530401A14Rik",-2.4219152207998,7.96596380173446e-06,0.0016081832558647
"9530026P05Rik",-2.58886147314461,1.4126456540578e-06,0.000461332677053847
"9630013A20Rik",-0.857459719615959,1.92119121112014e-05,0.00323742268482165
"A730049H05Rik",-2.50439601278798,1.84676882743917e-05,0.00317916243030556
"Ablim1",-2.32486246159051,5.81611662545673e-05,0.00649037697997576
"Adamts9",-1.73719503803786,2.35878448359185e-05,0.0036125191053189
"Als2cl",-1.22733218714826,2.10569040367755e-05,0.0033260989707846
"B130024G19Rik",-7.73866876675512,5.96931501882784e-34,1.3256057862311e-29
"Capn7",-0.787846630952214,6.17700154685649e-05,0.00675727454931242
"Car10",-1.47655951205243,1.33407426518542e-09,1.48128936034863e-06
"Ccdc85a",-1.00119972684343,1.90785109429754e-05,0.00323742268482165
"Cnot3",-0.783129080405868,2.11185641860957e-05,0.0033260989707846
"Col15a1",-2.91975578472406,5.45490635905918e-05,0.00627260231928796
"Col27a1",-2.40659823110884,2.77216989004508e-14,1.02602627913718e-10
"Col5a3",-1.31055013473677,2.55292470997003e-05,0.0037631684210643
"Col9a1",-6.24823632356725,1.53343937405964e-07,8.51327204493563e-05
"Cpne6",-3.63020045332266,4.01396832011942e-06,0.00104439266242683
"Cpne7",-2.0331462088792,9.49208944232213e-05,0.00928593965839857
"Crnde",-2.42855311559565,5.01873628243292e-06,0.00117223906126862
"Dpf2",-0.849735332046533,8.61454254919542e-05,0.00861725884639562
"Dpysl5",-2.49711588902313,5.30746237281478e-05,0.00627260231928796
"Fam163a",-3.62568237433424,6.44794783390911e-05,0.00691737089602027
"Fam228a",-0.904861087216042,8.69718581382336e-05,0.00866091503890472
"Fndc1",-3.90180739005125,1.47627939957541e-10,2.18558244175808e-07
"Fshr",-2.811202355096,2.58056578268278e-05,0.00377017265368661
"Gm15398",-1.45934748978973,1.30598714918099e-07,8.05612683940616e-05
"Gm16054",-1.17922065034638,8.71261018516235e-07,0.00031598694212956
"Gm16226",-1.68675148830511,6.97994404729777e-07,0.000276792174032753
"Gm28258",-6.74066163526504,8.55885222906253e-10,1.13345225881299e-06
"Gm29683",-4.88397775736946,9.12482056042004e-06,0.0017774990367127
"Gm35842",-5.24572532483882,1.95381298224113e-05,0.00325112773825411
"Gm40999",-1.70322290863709,6.87241822856222e-05,0.00730219098572637
"Gm44532",-5.16939476631975,6.46831382874352e-07,0.000271022349424354
"Gm45411",-2.49394769227722,2.62976351785392e-05,0.0038169384601949
"Gm50071",-1.86520562753054,4.06914216767878e-05,0.00519330115618636
"Gm50152",-1.24550157966402,4.71417834473826e-05,0.00579795580914097
"Hes1",-0.856329114329133,5.78290356516087e-05,0.00648590603391552
"Hrk",-1.51513109225588,2.54524243507465e-05,0.0037631684210643
"Jmjd8",-1.56245211947385,4.72567209192829e-05,0.00579795580914097
"Kctd8",-0.602680303223799,4.35463079688212e-05,0.00543276888237985
"Maml3",-0.78575054079642,3.60990138895155e-06,0.000977622928590818
"Mdga1",-1.60190179336078,1.24688853791613e-05,0.00230747114679196
"Nr2f1",-1.01374669832801,4.89749649106553e-06,0.00117223906126862
"Nr2f2",-4.97168273903461,4.91953862007828e-18,3.64160647120261e-14
"Olfm3",-1.3284039361875,4.73243683367643e-08,3.5177364828726e-05
"Otof",-3.48068103409206,3.57058856628403e-05,0.00463696259014441
"Pabpc4",-0.837338730334888,2.00911992832329e-05,0.00326714663757879
"Pcnx2",-1.09501547927838,2.19013887179674e-06,0.000639952814815662
"Pde1a",-2.53165276604818,1.4438285928644e-16,8.01577539043496e-13
"Pdgfd",-2.21287366002165,2.28624363525201e-05,0.00354735031710255
"Pdgfra",-0.709236527341003,1.60013998479955e-11,3.55343086424436e-08
"Plcxd3",-1.0401696391648,1.19166792443166e-06,0.000394975665639609
"Plxnb3",-0.920778797274785,1.80055713392718e-07,9.08749369843657e-05
"Rasgef1b",-0.721390473058312,7.46277165924308e-06,0.00156345066261143
"Rhoj",-1.11338692821544,8.89154482521959e-07,0.00031598694212956
"Rph3a",-1.68870946035239,2.21856611236221e-11,4.10564147143563e-08
"Sbf1",-1.0517762252776,6.61655301162868e-05,0.00706412465044414
"Scel",-0.788180112194776,7.3458935343676e-06,0.00155362150207335
"Slc38a2",-0.853863062464975,3.94856546130785e-06,0.00104439266242683
"Srcin1",-1.32433369276369,4.39337714768952e-05,0.00545048750384029
"Tle2",-0.927758140543735,7.69984907250212e-05,0.00802772527479129
"Tmem117",-2.26841317432416,1.41612194453732e-05,0.00253611451793066
"Tmem132c",-1.28793633338044,4.10611564966758e-05,0.00521054344183816
"Trhde",-2.94280598457026,4.71554737281949e-06,0.00115074901657365
"Uckl1",-1.11439276889371,7.8610322670438e-05,0.00806762280398921
"Unc5d",-1.93099029626019,3.14774737048816e-06,0.000882335133162407
"Vstm2b",-0.767064811433157,3.66131219488324e-05,0.0047271372041728
"Wfs1",-2.17282517957492,6.2862771617032e-08,4.36247990406072e-05
"Zfp804a",-0.760830947163031,2.75540819087859e-05,0.00392239421120775
