"","avg_logFC","p_val","p_val_adj"
"Abhd2",0.707778477903633,5.6346099608509e-05,0.00638407058166408
"Acvr1c",1.84394630787314,3.49807500318811e-05,0.00456951479975284
"Acvrl1",3.20633099129497,9.18725656713373e-10,1.13345225881299e-06
"Adamts2",1.30632539701386,4.2928772044069e-06,0.00107394850853452
"Afap1",0.946510238954892,1.15557145704077e-07,7.59418442130628e-05
"Ahnak",4.51503201095454,2.45520413104429e-05,0.00370902844476874
"AI593442",1.48843627225596,5.38861123433144e-05,0.00627260231928796
"Ankrd6",0.595214965410565,9.27279774210962e-05,0.00911154953358533
"Arhgap11a",2.46560083487885,8.95997689534941e-05,0.0088432980851122
"Arpc2",0.64232083507534,7.25226655148058e-05,0.00759674921267591
"Ass1",2.42317350165607,3.46462603710596e-05,0.00456951479975284
"Atp2b1",0.676672571106301,7.95560099658317e-09,6.79500120504317e-06
"Atp5f1",0.792746509278572,9.45024946639786e-06,0.00182488426000259
"Atp5g1",0.995204340711178,7.57895864505915e-07,0.000295273569527769
"Atp5j",0.710645707314221,7.78918377454162e-05,0.00806762280398921
"Atp5l",0.6996606675142,2.04030108505541e-06,0.000620670769805829
"Atp6v1d",1.0203304605536,7.0854010446017e-09,6.2938200398988e-06
"Atp6v1e1",0.6693266684973,1.49027395353581e-05,0.00262654870525156
"B3gnt2",1.1136994812204,4.96547515934169e-06,0.00117223906126862
"Baz1a",1.62292688660529,8.59643331768442e-05,0.00861725884639562
"Cacna1g",1.13173885492531,5.86279216915368e-07,0.000250375049423838
"Calb1",1.91164978397361,5.13621216427017e-13,1.62942662188497e-09
"Calm1",0.736424702536002,9.29844566999737e-09,7.6477993701345e-06
"Calm2",0.991847825882105,1.25854534348837e-10,1.99632260306045e-07
"Ccnd2",1.151161530448,3.47442458632306e-09,3.35463246906419e-06
"Cemip2",1.19924788079684,6.39629017401447e-05,0.0068952629074922
"Chchd10",1.53667183438033,1.62606484455514e-06,0.000506305501625459
"Chchd2",1.10683523630104,8.96437040309915e-07,0.00031598694212956
"Chchd7",1.58811889052056,2.01557657201916e-05,0.00326714663757879
"Chgb",1.00270249140626,1.60481451696588e-05,0.00280615086443002
"Churc1",0.965002533837113,2.10552901448659e-05,0.0033260989707846
"Ckap2l",2.18593788400769,2.24044996050691e-05,0.00350377973753358
"Cnr1",0.833875702246499,1.48141225387042e-05,0.00262654870525156
"Coa3",0.941802960898339,5.21386880383683e-06,0.001181473311498
"Col18a1",1.06458981845837,1.13945832405726e-05,0.00216273085490083
"Cox4i1",0.707780160320052,5.33843873116131e-06,0.00119748190811009
"Cox5a",0.93750987270356,9.26291322778756e-07,0.00032140861570231
"Cox5b",0.877694262708892,5.92480573964561e-05,0.0065786080530155
"Cox6b1",0.793186346576995,5.33493516520539e-05,0.00627260231928796
"Cox7a2",0.701428779827832,5.4235225665035e-05,0.00627260231928796
"Cox7b",0.734761477024999,3.41213302580567e-05,0.0045373196469501
"Cplx2",0.865481492518617,1.66634444472877e-05,0.00289097742844468
"Cycs",1.25420325426313,1.19690392554474e-07,7.59418442130628e-05
"Cystm1",0.904991129000437,2.05610553422277e-05,0.00330869098539747
"Dbpht2",1.08722338632639,1.41190219274481e-05,0.00253611451793066
"Dctn3",1.10169250724279,2.69215287986901e-09,2.71748359105687e-06
"Ddit4l",2.85040400025156,1.7595848776002e-07,9.08723287834132e-05
"Dmkn",2.66582916089616,2.45749572352661e-07,0.000118638277244251
"Dnaja1",0.787189550137661,6.13318609553143e-05,0.0067425576051221
"Drd1",1.99340565677554,5.5079815025044e-05,0.00627260231928796
"Dynll1",0.797902463828192,4.29363331423193e-05,0.0054175406255198
"Dynlt3",0.946869821799988,7.2252137738978e-06,0.00154279156035527
"Ednrb",0.929695080927914,4.21821439509087e-06,0.00107394850853452
"Egr1",1.39158879738397,1.86828631546225e-09,1.97566829559381e-06
"Egr3",1.47299177438742,8.59476848346297e-05,0.00861725884639562
"Egr4",2.03406504597411,4.0445701341337e-06,0.00104439266242683
"Eif1",0.735834401448838,8.19748151649737e-06,0.00161611008134646
"Erf",0.959206354520437,7.88343382026234e-05,0.00806762280398921
"Fkbp1a",0.753089943744422,2.06469450418711e-07,0.000101890379676629
"Fkbp3",0.837019616917077,5.0876158258411e-06,0.00117223906126862
"Flrt1",0.60416547063283,4.82674843852757e-07,0.00021017176975369
"Gm29521",2.48035690003575,1.3535157086208e-15,6.01150466826842e-12
"Gm33651",4.42872230422378,1.41520804324759e-07,8.27040132010505e-05
"Gm39043",3.63909044100651,7.01099452496814e-11,1.1976396570459e-07
"Gm44993",4.73946809207694,5.02675070411616e-06,0.00117223906126862
"Gm50370",4.88460451595318,3.35334627232297e-07,0.000149541739707788
"Gnb5",0.692910110620567,5.49970520369791e-05,0.00627260231928796
"Got1",0.95610353365032,6.34566005504233e-05,0.00687405233377195
"Gpr6",1.82963347452487,5.40454306154402e-06,0.00120018687767708
"Gpr88",1.71768145966947,2.67044238220287e-05,0.00382596864397285
"Gpx1",1.80443211318927,1.45365156968767e-11,3.55343086424436e-08
"Gulp1",0.996403199070488,1.17687527047753e-05,0.00221481941792326
"Hpca",1.42477156383185,3.2842827159438e-05,0.00442024644078569
"Hras",1.36025847383036,9.00848602499397e-10,1.13345225881299e-06
"Hspd1",0.832489568229898,4.84298218106724e-05,0.00586379240211971
"Kitl",1.67898764290049,6.3185105817101e-05,0.00687405233377195
"Knl1",1.78728588437768,2.39602337413667e-05,0.00364441719653787
"Ldhb",0.937359948235292,3.10398061252992e-08,2.46178919508757e-05
"Mageb18",4.15622152514267,7.12045825003986e-05,0.00752971506469691
"Map1lc3a",1.04455794416623,2.89172347098238e-05,0.00403877378113872
"Mhrt",2.73845770518651,8.78151616443691e-05,0.00870585399391297
"Mpp7",1.08697075115036,1.39963733295651e-07,8.27040132010505e-05
"Mrpl11",0.969483791198417,4.33726467877979e-05,0.00543276888237985
"Mrps33",1.07493304227504,3.25738387768346e-07,0.000149541739707788
"Nap1l1",0.886963065510104,1.16873310673517e-07,7.59418442130628e-05
"Ndufa7",0.80145425631698,2.17166225538888e-06,0.000639952814815662
"Ndufab1",0.717921005615285,3.38176407370407e-05,0.00452402619185218
"Ndufb10",0.962367406640228,5.12033092912399e-06,0.00117223906126862
"Ndufb5",0.874506642609981,3.95067459943927e-06,0.00104439266242683
"Ndufs5",0.685308241531788,3.28123699962173e-05,0.00442024644078569
"Nelfe",1.22456902103603,6.56604873981744e-06,0.00142266928186728
"Nhp2",1.16932196458233,5.46967549296806e-05,0.00627260231928796
"Nrgn",1.65176132226477,6.12911440308448e-26,6.80546217746485e-22
"Ntn4",1.24101955733024,4.81725644266877e-05,0.00586379240211971
"Nucks1",0.772853633557045,8.31653277704791e-07,0.000307808738966505
"Pcp4",1.533037817809,1.23184770715553e-09,1.43977063330541e-06
"Pcp4l1",2.37381163147723,6.10566061376885e-09,5.6495168854152e-06
"Penk",0.991365181371523,1.92918296048476e-11,3.89466963668046e-08
"Pgpep1",1.04911838499133,7.92343766513617e-06,0.0016081832558647
"Pla2g4a",1.50501355121648,2.23123071918755e-06,0.000643492734818155
"Pmepa1",1.54462473672836,2.8713860374703e-05,0.00403877378113872
"Pnlip",1.98969246519191,4.91020498992303e-05,0.00589410390330922
"Pnn",0.612922615545895,7.8832391518551e-07,0.000301832916974562
"Ppia",0.735543285579484,4.85854821448204e-05,0.00586379240211971
"Ppp1ca",1.04866809835598,8.22355289738144e-06,0.00161611008134646
"Ppp2r5a",0.706576276222343,3.23289436362008e-05,0.0044044714805467
