"","avg_logFC","p_val","p_val_adj"
"Adgrv1",3.06105896485642,1.06406775906851e-06,0.00111560854114839
"Bmper",2.08294903437707,1.23436374505404e-06,0.00121802657784009
"Cdh4",3.62550456468133,3.63885620468726e-09,1.01736354722715e-05
"Dscam",6.11862708454647,1.57862674722547e-06,0.00132407318423536
"Epha3",4.28903259143747,1.25803778623569e-07,0.000162335260493106
"Gli1",5.79569573757406,7.8913117326034e-06,0.004902842752386
"Gm10561",1.91140791112457,1.37390824292859e-06,0.00123553695207298
"Gm34354",5.77704875383655,1.04791591568069e-05,0.00627813910197985
"March1",2.85863037600978,1.39941592187103e-06,0.00123553695207298
"Nrg1",2.29874349104818,1.1481886165778e-09,6.06792924628807e-06
"Pcdh15",3.96465303620129,1.9627563614431e-07,0.000235180271165772
"Sema5b",6.68704579906152,4.34036554875356e-09,1.04013760114773e-05
"Shroom3",2.88868881095238,2.48385133510389e-08,4.16666061463677e-05
"Slc38a2",4.3076264337699,1.58803584933023e-05,0.00832478167891082
"St6galnac5",2.11021366412186,2.91129375649047e-06,0.0023151677693581
"Unc5d",3.02672113263194,5.55012377282708e-06,0.00372413305156697
"Veph1",6.57843171759552,1.2908598550517e-08,2.70677175856152e-05
