"","avg_logFC","p_val","p_val_adj"
"4930529K09Rik",2.34585285868749,1.93768876161964e-05,0.0065415869296497
"4933408N05Rik",2.54373133878407,1.14081199218378e-06,0.000630966122059942
"B230216N24Rik",1.43483646453093,1.83173678791249e-07,0.000132266660560514
"B3gat1",1.37877414885126,2.61446106079923e-09,3.24371453166392e-06
"Bach2",2.75067152391958,1.03007853582812e-12,6.69422288471299e-09
"Cachd1",2.16101912005052,1.00304564133162e-08,8.99109360221226e-06
"Gm12536",1.87875502413801,7.43165599188388e-07,0.000419969342410916
"Gm15902",3.19514153198687,3.35580933763003e-09,3.79279407529098e-06
"Gm27151",2.71736703121972,5.81050429011293e-09,5.73083647371025e-06
"Gm32432",2.88850474927252,2.48409357696854e-06,0.00123130387877602
"Gm47095",3.20884240894043,4.13295817852496e-08,3.35738274533614e-05
"Gng4",1.77248700054184,1.25049396835259e-05,0.00439278252801697
"Ipcef1",2.98864994049984,1.05492828766287e-07,8.30995782963524e-05
"Lypd6b",2.69427698474606,6.79050492916354e-06,0.00264988099733173
"Opn5",1.74343119926947,1.18437854555559e-05,0.00421752332763256
"Oprm1",3.54044590654471,2.36204399380416e-11,6.1401333618939e-08
"Pam",1.244150247238,1.80340771800467e-11,5.20884262550348e-08
"Ptchd4",2.4062014468468,3.98091573159841e-11,8.62365870357505e-08
"Ptpn3",1.31729143792684,8.34124804091959e-06,0.00311661856972303
"Rftn1",1.75083469639954,9.24576151354828e-06,0.00333810514645399
"Rgs6",3.29357704508707,2.40691563233586e-05,0.00782097148282134
"Scn9a",1.61793391082462,7.03247659089563e-11,1.21872819320221e-07
"Sema6d",1.2487880059352,5.38580339558135e-06,0.00229514687324815
"Sgsm1",0.786276737034032,3.15293602627731e-05,0.00987476771121429
"Socs2",1.04822249816441,8.39251009350307e-06,0.00311661856972303
"Stxbp6",3.44995617024134,2.97323200372131e-12,1.28815276561226e-08
"Trpm3",2.47888639603756,2.65784802243889e-09,3.24371453166392e-06
"Tshz2",4.391070353582,2.09681577282013e-05,0.00689958557145056
"Vat1l",3.51772234084393,1.22169633456677e-10,1.98487476356644e-07
