"","avg_logFC","p_val","p_val_adj"
"4930529K09Rik",2.09877143057617,4.95370671647671e-07,0.000490293122263282
"4933408N05Rik",3.22681431104016,2.38635297393685e-09,1.13370857085792e-05
"B3gat1",2.52956117781255,6.10712845941239e-06,0.00268645795231263
"Ccr5",1.41071797651397,5.65276059641066e-06,0.00264293077129215
"Dchs2",2.3932406369964,3.35155905971439e-07,0.000398064669522278
"Dlgap1",1.1935166292668,1.41738264185984e-05,0.00534420750392676
"Dscaml1",3.30229884219939,6.02166425784942e-06,0.00268645795231263
"Elovl2",1.1414546112937,2.58835444421376e-05,0.00826025045917203
"F2rl2",2.80726784785329,2.12679952346875e-06,0.00140333321890213
"Fmnl2",2.17338292204987,1.54152033107328e-05,0.00572144905379918
"Garnl3",0.79611301542904,2.42571478453135e-06,0.00147744689722455
"Gm12128",4.6520923932287,1.39431044602755e-05,0.00534200811853845
"Gm15398",2.77845163582198,1.53433115249013e-07,0.000227790638726566
"Gm15713",4.63758629050177,2.20466829782633e-05,0.00748138439236667
"Gm15902",3.50200842701971,9.74921859415722e-06,0.00399280928423467
"Gm32815",2.15701076658287,3.22742792898501e-06,0.00191660807562775
"Gm40663",4.4332933755971,5.30134131105443e-06,0.00259961748038401
"Gm48293",2.2846045327052,5.78565294717487e-06,0.00264293077129215
"Gm49685",3.8104542313885,3.71934798973875e-07,0.000420711391182163
"Gnai1",1.18328231940806,3.51663173679247e-06,0.00203741634818947
"Gulp1",4.59071964535905,3.95949876209235e-06,0.00218976133199806
"Insyn2b",2.48673183221194,2.39181320706601e-06,0.00147744689722455
"Kcnd3os",1.80187393663134,1.88054856624996e-05,0.00666724636458234
"Map3k20",1.63886564785124,5.35332271560592e-06,0.00259961748038401
"March1",2.38790785333156,2.60806089264083e-05,0.00826025045917203
"Mitf",1.09943800249426,5.13064621001653e-06,0.00259961748038401
"Ntng2",1.93871415720391,2.44980992431091e-05,0.00808233124195573
"Oprd1",2.98161038497342,1.96306165134547e-06,0.00137148724900177
"Osbpl1a",1.44970502748624,1.67794146006275e-06,0.00120781277097971
"Pced1b",1.20505350860238,1.5497537400583e-08,3.72926867809463e-05
"Pik3r5",2.76719766826967,1.22480257418144e-05,0.00484899339118432
"Postn",3.73477774773068,1.3732825706774e-06,0.00101940481824596
"Ptchd4",3.06969119148673,1.97834637388394e-07,0.000276200967905799
"Rnd3",1.83372907339694,2.16626925761685e-05,0.00745761738339575
"Scn9a",2.03254538222449,1.56995397747522e-08,3.72926867809463e-05
"Spry4",2.29991527960563,7.84100592483988e-06,0.0033864591770663
"Stxbp6",3.00993520850088,1.138329957479e-06,0.000888770256548342
"Tgfbr2",2.12935359390414,7.66212444090193e-08,0.000151671753307654
"Vat1l",2.65040517004829,1.17915303230886e-07,0.000191130127106059
"Zbtb46",1.72755826755577,2.62826154394595e-07,0.000328588024815221
