"","avg_logFC","p_val","p_val_adj"
"1700123M08Rik",-0.873434470173423,3.42103639370527e-06,0.00249374547343371
"C730036E19Rik",-2.15548834279563,1.79017953586098e-05,0.00921135125099292
"Calcrl",-2.21000564944668,5.73935022044695e-17,1.50612028484969e-12
"Cpxm2",-2.74816983188438,5.98217371517296e-09,1.33600874111843e-05
"Cst11",-2.70185141803444,1.86906974479025e-07,0.000245240641213929
"Fam160a1",-3.03903379541688,1.69991534513603e-07,0.000245240641213929
"Frem2",-2.94393642829868,3.46600006070736e-07,0.000395455537361229
"Glt28d2",-3.78519682133966,3.2638957372986e-13,2.14127879845475e-09
"Gm13822",-2.1374931951815,1.08221473868562e-06,0.00109228766048416
"Gm29135",-4.025555494601,1.06257274240705e-05,0.0060617465013578
"Gm31369",-4.49220477038823,1.72419040323243e-05,0.0090492409123251
"Gm3143",-3.2686836918657,2.5127374703209e-11,1.09898761160268e-07
"Gm38505",-3.71656263150404,1.74623321805652e-09,5.09162801202658e-06
"Gm42205",-4.20156711033485,1.60096953706423e-08,2.80084283944264e-05
"Gm42695",-3.1241239285967,7.37606389291155e-07,0.00080651111949077
"Gm48387",-1.83004711202573,2.51114176682145e-07,0.000313797058309183
"Htr2a",-2.33933230155759,3.50225136871015e-10,1.14882600522115e-06
"Impg1",-2.87318721571078,8.19826279925946e-06,0.00512235267567063
"Krt23",-3.24247033179827,3.82426179837046e-06,0.00271233184088751
"Mmgt2",-1.1290485364236,1.18639091022312e-06,0.0011530840839287
"Npy1r",-1.12950563951043,1.03823099977892e-05,0.0060617465013578
"Npy5r",-0.909714826629661,3.29936365766367e-06,0.00247376860298315
"Obscn",-3.63405540398736,3.28954861198185e-11,1.2332047810804e-07
"Pag1",-0.751690997357095,1.14488065995962e-05,0.00639233154865115
"Pdlim1",-1.71689051309067,9.82684334657341e-07,0.00103150409240312
"Pkd2l1",-1.76820116407329,4.27526454082936e-06,0.00287670492513959
"Slco5a1",-1.19122925671473,2.37063890601537e-06,0.00188516079308046
"Sox2",-1.97024494108033,1.45230818752112e-13,1.27038238189764e-09
"Sox2ot",-3.78401895668014,4.84196464235237e-14,6.35314180723055e-10
"Srpx",-1.43656624425637,1.32574581982923e-05,0.00724796287582471
"Stoml3",-1.60207594606323,1.06134089953367e-05,0.0060617465013578
"Strip2",-0.972947581945757,2.76188902632398e-06,0.002131690936141
"Tll1",-1.06339278951185,7.27074574722725e-09,1.46768392229798e-05
"Tshz3",-0.946435598833125,1.41760793427148e-06,0.00128278853141904
