"","avg_logFC","p_val","p_val_adj"
"4930529K09Rik",2.42608483448271,1.02739016887209e-06,0.00207762001149834
"C130073E24Rik",3.85222377062935,6.03746002840183e-06,0.00793593933433278
"Chd5",0.889839881870694,2.79989008058889e-06,0.00460039439553758
"Drd3",1.99407614395149,3.22854793691159e-06,0.00482968410078073
"Fbn2",2.57266165431758,5.54880597887034e-16,7.29362801892612e-12
"Gm15902",3.29603700356016,1.01354838558467e-08,3.33064668857943e-05
"Gm32647",1.66949240145986,2.54910635747498e-07,0.000558445475263832
"Gm45323",3.66179643823198,5.00111574465615e-06,0.00691970167427713
"Gnai1",2.31305709440765,1.31761881924555e-07,0.000314898919446785
"Grb14",1.20117984067912,1.67518947423352e-06,0.00293593707254166
"Stmn2",1.02837949087677,1.42706203184605e-06,0.00267971669680006
"Stxbp6",3.00052373669602,2.86343200718378e-10,1.50553528073709e-06
