"","avg_logFC","p_val","p_val_adj"
"Calb1",4.47924476422423,2.31280387542528e-06,0.00501263615354522
"Chrm2",5.10546213181626,2.6849983349308e-07,0.00242616449544347
"Cntnap5b",3.12290184027298,2.04559322458189e-06,0.00501263615354522
"Moxd1",6.41923405270414,2.49633274578945e-06,0.00501263615354522
"Ndst4",5.20614114054144,3.30100223137136e-06,0.00596557123253433
"Pcdh17",2.77779354287719,2.01733995169421e-06,0.00501263615354522
"Stxbp6",4.0028386463088,1.07180166821129e-06,0.00387391994958289
"Thsd7a",3.20240270840274,5.27054955567654e-07,0.00317497905233955
"Thsd7b",3.31565023542956,1.03231354324256e-06,0.00387391994958289
"Trhde",5.09741454272787,3.72846819651428e-08,0.00067380877247406
