"","avg_logFC","p_val","p_val_adj"
"4930529K09Rik",2.18918198027889,2.13271593229387e-06,0.0021737297002226
"Chd5",0.801724100958378,2.87704464803679e-07,0.00044544027709661
"Gm15902",2.93182561509271,2.59499361223441e-18,3.43836653621059e-14
"Gm45455",3.95433270050328,1.0578248201763e-05,0.0082448110984329
"Gm47095",2.46971012897988,7.42835180963894e-09,1.96851322955432e-05
"Grb14",1.10295993120947,2.66899154879513e-07,0.000442051725269194
"Oprm1",2.34724492437069,2.22289497052189e-07,0.0003927114447922
"Rgs6",2.37731297332597,4.22929881639161e-07,0.000548713236619308
"Stxbp6",2.75973042234338,1.34452929769644e-24,3.56300263889556e-20
"Trpm3",1.69519847685978,6.94925489560491e-06,0.00575485171042282
"Vat1l",1.68408674543628,6.43797185641188e-09,1.96143587072877e-05
