"","avg_logFC","p_val","p_val_adj"
"9330185C12Rik",-2.626163918373,3.21752060080899e-13,8.16091925189192e-09
"Abhd12b",-7.54149411339038,2.64225428268255e-09,1.11696896043267e-05
"Adamts15",-2.20876215737696,4.27444481423661e-07,0.000677606364176858
"Adgrf5",-4.07293999392149,1.75732865494134e-06,0.0018317405214767
"Apol8",-1.37359156059531,1.13358548166067e-05,0.00727766936545296
"Bmp6",-3.62716829584403,1.22687520976575e-07,0.000311184628204985
"Cnksr3",-5.12399950935353,6.40522820897311e-08,0.000180513564769327
"Cox6a2",-1.86189644519456,1.40331365580487e-05,0.00835658520811927
"Cthrc1",-1.32579232050761,1.47130463507398e-07,0.000324242151334839
"Dusp10",-1.41100743102419,1.91647677133426e-06,0.00186959680108162
"Egfr",-0.905424430626388,8.16417531066502e-06,0.00575211507165854
"Gm20752",-3.30104229696093,8.30499998449541e-07,0.0011086737874039
"Gm35696",-4.69799007231566,1.88925520210178e-08,6.68575433177958e-05
"Gm38560",-2.15725443766095,1.71127527178147e-05,0.00986472408942392
"Gpr83",-1.06062335289936,1.28369351980202e-06,0.00162798012181292
"Hhatl",-1.61980930691907,3.95238341088049e-06,0.00345683630460595
"Igfbp4",-1.14057650165312,4.96901124335678e-06,0.00393856253676567
"Lef1",-7.65705522831441,6.2711929549967e-06,0.00467830994442754
"Lhx9",-4.99281855612865,5.9436684200852e-07,0.000886795328276713
"Mctp2",-3.71308004765919,2.10873815858053e-08,6.68575433177958e-05
"Myadml2",-1.94265439398094,1.41670542481126e-05,0.00835658520811927
"Mycn",-1.88188332640826,2.40444524366711e-06,0.00225875367260639
"Plekhg1",-6.28789999183248,1.5130212263508e-10,1.16351469957397e-06
"Prkcd",-5.86179970419648,1.80545312399138e-06,0.0018317405214767
"Prkch",-3.3243237369689,7.07026219910733e-06,0.00512371801194738
"Ramp3",-2.79627689072987,1.8349072694748e-10,1.16351469957397e-06
"Rnf220",-2.52589146549347,3.87848707287833e-07,0.000660355827553371
"Shox2",-8.09140620389402,1.17640925715018e-05,0.00727766936545296
"Six4",-2.7381530514554,1.87854677113167e-07,0.000366518925407567
"Slc9a3r1",-3.15711571549658,1.15867041304437e-05,0.00727766936545296
"Smtn",-3.23186454018619,1.77952764712087e-06,0.0018317405214767
"Sox5",-0.941261289274816,4.29256230428102e-06,0.00362921834285946
"Synpo2",-5.74366314880401,9.3784352071459e-10,4.75749261188097e-06
"Tcf7l2",-7.07511501916053,4.25223957293734e-12,5.39269022639913e-08
"Tmem163",-2.60068061943249,1.47053465850584e-06,0.00169539277628828
"Tnc",-5.44616279677022,1.53402689481867e-07,0.000324242151334839
"Vav3",-2.94096249088294,1.4279532007529e-06,0.00169539277628828
"Vstm2b",-0.81551655310722,2.92423695286125e-06,0.00264894093115617
"Wnt3",-3.50995381857332,4.62650893005286e-06,0.00378537975812454
