"","avg_logFC","p_val","p_val_adj"
"2010204K13Rik",1.15951161302558,9.84528495225212e-07,0.00174754235364446
"Bank1",0.652306633166053,1.09966153723331e-05,0.00858135875964611
"Emp2",0.912499016116012,2.68493239890286e-06,0.00363907258613403
"Emx2os",0.988944159624009,1.04799265290649e-06,0.00174754235364446
"Fam163a",1.26871614063506,8.980714608677e-06,0.00746036653556936
"Gm36988",1.27793503920591,8.78014238661968e-08,0.00045221245348046
"Grip1",0.639403283633806,3.12773109420219e-06,0.00402726655689475
"Lmo1",1.54972224937656,7.97436585923851e-06,0.0069913957055058
"Mapk15",6.26863668783018,1.03441476270585e-05,0.0083244528028753
"Olfml2a",1.53611843794851,5.59097961561928e-06,0.00622108510171359
"Pim1",1.35877051683197,1.08576722811088e-06,0.00174754235364446
"Slc25a34",1.12853167093963,5.8920644730451e-06,0.00622108510171359
"Sst",1.67274008895923,6.03941936714973e-06,0.00622108510171359
"Zdbf2",1.30500705294821,1.19050025906418e-05,0.0089725518568356
